model,policy,checkpoint,repeat,repeat_type,speaker,fold,uar_percent,query_records,minimum_class_support
cnn,U,last,0,panel_draw,1040,1,48.61111111111111,71,11
cnn,U,last,0,panel_draw,1041,1,52.77777777777778,72,12
cnn,U,last,0,panel_draw,1042,4,38.88888888888889,72,12
cnn,U,last,0,panel_draw,1043,4,56.94444444444445,72,12
cnn,U,last,0,panel_draw,1044,2,48.61111111111111,72,12
cnn,U,last,0,panel_draw,1045,0,47.222222222222214,72,12
cnn,U,last,0,panel_draw,1046,2,44.44444444444444,72,12
cnn,U,last,0,panel_draw,1047,1,56.94444444444445,72,12
cnn,U,last,0,panel_draw,1048,2,51.38888888888889,72,12
cnn,U,last,0,panel_draw,1049,3,43.05555555555556,72,12
cnn,U,last,0,panel_draw,1050,2,52.77777777777778,72,12
cnn,U,last,0,panel_draw,1051,3,55.55555555555555,72,12
cnn,U,last,0,panel_draw,1052,0,40.277777777777786,72,12
cnn,U,last,0,panel_draw,1053,0,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1054,4,31.944444444444443,72,12
cnn,U,last,0,panel_draw,1055,1,47.222222222222214,72,12
cnn,U,last,0,panel_draw,1056,2,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1057,1,43.05555555555555,72,12
cnn,U,last,0,panel_draw,1058,4,50.0,72,12
cnn,U,last,0,panel_draw,1059,2,37.5,72,12
cnn,U,last,0,panel_draw,1060,2,37.5,72,12
cnn,U,last,0,panel_draw,1061,0,43.05555555555556,72,12
cnn,U,last,0,panel_draw,1062,4,43.05555555555556,72,12
cnn,U,last,0,panel_draw,1063,2,51.38888888888889,72,12
cnn,U,last,0,panel_draw,1064,1,52.77777777777778,72,12
cnn,U,last,0,panel_draw,1065,1,54.166666666666664,72,12
cnn,U,last,0,panel_draw,1066,4,55.55555555555555,72,12
cnn,U,last,0,panel_draw,1067,4,38.888888888888886,72,12
cnn,U,last,0,panel_draw,1068,0,48.611111111111114,72,12
cnn,U,last,0,panel_draw,1069,4,31.944444444444446,72,12
cnn,U,last,0,panel_draw,1070,2,43.05555555555556,72,12
cnn,U,last,0,panel_draw,1071,2,36.11111111111111,72,12
cnn,U,last,0,panel_draw,1072,3,34.72222222222223,72,12
cnn,U,last,0,panel_draw,1073,4,41.66666666666667,72,12
cnn,U,last,0,panel_draw,1074,4,31.944444444444446,72,12
cnn,U,last,0,panel_draw,1075,1,37.5,72,12
cnn,U,last,0,panel_draw,1076,4,40.656565656565654,70,11
cnn,U,last,0,panel_draw,1077,3,37.49999999999999,72,12
cnn,U,last,0,panel_draw,1078,1,48.611111111111114,72,12
cnn,U,last,0,panel_draw,1079,2,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1080,3,54.166666666666664,72,12
