level,enc,condition,estimator,speaker,uar
cremad,hubert_base,balanced@3,shrink,1089,81.33333333333334
cremad,hubert_base,balanced@3,shrink,1090,72.22222222222221
cremad,hubert_base,balanced@3,shrink,1091,69.55555555555554
cremad,hubert_base,balanced@3,neutral_filter,1001,43.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1002,61.22222222222222
cremad,hubert_base,balanced@3,neutral_filter,1003,56.44444444444445
cremad,hubert_base,balanced@3,neutral_filter,1004,70.0
cremad,hubert_base,balanced@3,neutral_filter,1005,61.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1006,64.16666666666667
cremad,hubert_base,balanced@3,neutral_filter,1007,68.22222222222221
cremad,hubert_base,balanced@3,neutral_filter,1008,63.61111111111111
cremad,hubert_base,balanced@3,neutral_filter,1009,76.66666666666667
cremad,hubert_base,balanced@3,neutral_filter,1010,68.0
cremad,hubert_base,balanced@3,neutral_filter,1011,76.22222222222221
cremad,hubert_base,balanced@3,neutral_filter,1012,61.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1013,77.22222222222223
cremad,hubert_base,balanced@3,neutral_filter,1014,76.44444444444444
cremad,hubert_base,balanced@3,neutral_filter,1015,55.111111111111114
cremad,hubert_base,balanced@3,neutral_filter,1016,66.66666666666667
cremad,hubert_base,balanced@3,neutral_filter,1017,51.72222222222223
cremad,hubert_base,balanced@3,neutral_filter,1018,76.44444444444446
cremad,hubert_base,balanced@3,neutral_filter,1019,56.22222222222223
cremad,hubert_base,balanced@3,neutral_filter,1020,75.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1021,61.11111111111111
cremad,hubert_base,balanced@3,neutral_filter,1022,72.66666666666667
cremad,hubert_base,balanced@3,neutral_filter,1023,65.55555555555556
cremad,hubert_base,balanced@3,neutral_filter,1024,52.0
cremad,hubert_base,balanced@3,neutral_filter,1025,52.44444444444445
cremad,hubert_base,balanced@3,neutral_filter,1026,68.66666666666666
cremad,hubert_base,balanced@3,neutral_filter,1027,69.55555555555556
cremad,hubert_base,balanced@3,neutral_filter,1028,57.333333333333336
cremad,hubert_base,balanced@3,neutral_filter,1029,56.0
cremad,hubert_base,balanced@3,neutral_filter,1030,69.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1031,40.666666666666664
cremad,hubert_base,balanced@3,neutral_filter,1032,54.22222222222223
cremad,hubert_base,balanced@3,neutral_filter,1033,79.55555555555554
cremad,hubert_base,balanced@3,neutral_filter,1034,48.0
cremad,hubert_base,balanced@3,neutral_filter,1035,76.44444444444444
cremad,hubert_base,balanced@3,neutral_filter,1036,49.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1037,70.44444444444444
