corpus,model,window,criterion,n_draws,folds_per_draw,df,mean_pp,sd_draw_pp,se_pp,pointwise_95_low_pp,pointwise_95_high_pp
ravdess,wavlm_base_plus,20,CE,24,5,23,0.1996527777777777,1.6829808053281712,0.3435370183293607,-0.5110076896499225,0.9103132452054779
ravdess,wavlm_base_plus,20,UAR,24,5,23,0.8420138888888888,2.1549985136889562,0.4398872295828411,-0.06796217631380663,1.7519899540915844
ravdess,wavlm_base_plus,21,CE,24,5,23,0.4427083333333332,2.248282103846904,0.458928662687998,-0.5066579373756304,1.3920746040422967
ravdess,wavlm_base_plus,21,UAR,24,5,23,1.0416666666666665,2.396719275389622,0.48922827344980085,0.029620875562564652,2.0537124577707684
ravdess,wavlm_base_plus,22,CE,24,5,23,0.6163194444444443,2.6089479055189573,0.5325492611686952,-0.48534263759521845,1.717981526484107
ravdess,wavlm_base_plus,22,UAR,24,5,23,0.5208333333333331,2.458901309970352,0.5019211281073748,-0.5174696281561019,1.559136294822768
ravdess,wavlm_base_plus,23,CE,24,5,23,0.8246527777777777,2.830960727793798,0.5778674387460757,-0.37075709719765526,2.020062652753211
ravdess,wavlm_base_plus,23,UAR,24,5,23,0.034722222222222,2.6054646523701686,0.5318382450970722,-1.0654690110097476,1.1349134554541918
ravdess,wavlm_base_plus,24,CE,24,5,23,1.050347222222222,2.450813824174512,0.5002702769822236,0.015459306476499846,2.0852351379679446
ravdess,wavlm_base_plus,24,UAR,24,5,23,0.37326388888888873,2.707970409537214,0.5527621451601473,-0.7702117294482088,1.5167395072259864
ravdess,wavlm_base_plus,25,CE,24,5,23,0.9982638888888888,2.158061198174049,0.44051239743547577,0.08699456545005135,1.9095332123277262
ravdess,wavlm_base_plus,25,UAR,24,5,23,0.2777777777777777,2.44247422796379,0.49856796403413045,-0.7535886353325567,1.309144190888112
ravdess,wavlm_base_plus,26,CE,24,5,23,1.2847222222222223,2.211344906679258,0.4513888888888889,0.350953161963624,2.2184912824808207
ravdess,wavlm_base_plus,26,UAR,24,5,23,0.18229166666666652,2.520532006783929,0.5145014414144946,-0.8820356556869979,1.246618989020331
ravdess,wavlm_base_plus,27,CE,24,5,23,1.1024305555555556,2.4874983057390714,0.5077584654248658,0.05205214179970952,2.1528089693114016
ravdess,wavlm_base_plus,27,UAR,24,5,23,0.14756944444444436,1.9480333188610799,0.39764063609584066,-0.6750128836270879,0.9701517725159765
ravdess,wavlm_base_plus,28,CE,24,5,23,1.2239583333333335,2.0935550868248125,0.427345142594077,0.3399275518304825,2.1079891148361845
ravdess,wavlm_base_plus,28,UAR,24,5,23,0.3211805555555555,2.049525659695531,0.41835767341626084,-0.5442582294341993,1.1866193405453105
ravdess,wavlm_base_plus,29,CE,24,5,23,1.7361111111111112,2.0390832023137584,0.41622611572908563,0.8750817891529785,2.597140433069244
ravdess,wavlm_base_plus,29,UAR,24,5,23,0.1215277777777777,2.27050229160855,0.46346433952173705,-0.8372212553317016,1.080276810887257
ravdess,wavlm_base_plus,30,CE,24,5,23,1.8489583333333333,2.058101278505152,0.4201081642756096,0.9798983821054176,2.718018284561249
ravdess,wavlm_base_plus,30,UAR,24,5,23,0.23437499999999994,2.149591738144823,0.438783576146434,-0.6733179841222068,1.1420679841222068
ravdess,wavlm_base_plus,31,CE,24,5,23,1.909722222222222,2.3390737703329454,0.47746143400364377,0.9220179930889921,2.897426451355452
