corpus,model,window,criterion,draw,folds,seen_minus_unseen_outer_uar_pp
subesco,wavlm_base_plus,9,CE,16,5,-0.7142857142857139
subesco,wavlm_base_plus,9,CE,17,5,1.4285714285714277
subesco,wavlm_base_plus,9,CE,18,5,-2.8571428571428568
subesco,wavlm_base_plus,9,CE,19,5,0.7142857142857153
subesco,wavlm_base_plus,9,CE,20,5,3.2142857142857144
subesco,wavlm_base_plus,9,CE,21,5,4.642857142857144
subesco,wavlm_base_plus,9,CE,22,5,0.7142857142857124
subesco,wavlm_base_plus,9,CE,23,5,2.8571428571428568
subesco,wavlm_base_plus,9,UAR,0,5,3.2142857142857166
subesco,wavlm_base_plus,9,UAR,1,5,-2.8571428571428568
subesco,wavlm_base_plus,9,UAR,2,5,1.4210854715202005e-15
subesco,wavlm_base_plus,9,UAR,3,5,0.0
subesco,wavlm_base_plus,9,UAR,4,5,-0.35714285714285693
subesco,wavlm_base_plus,9,UAR,5,5,1.4285714285714277
subesco,wavlm_base_plus,9,UAR,6,5,-1.0714285714285707
subesco,wavlm_base_plus,9,UAR,7,5,-0.35714285714285693
subesco,wavlm_base_plus,9,UAR,8,5,1.428571428571427
subesco,wavlm_base_plus,9,UAR,9,5,1.4285714285714293
subesco,wavlm_base_plus,9,UAR,10,5,3.571428571428572
subesco,wavlm_base_plus,9,UAR,11,5,-1.4285714285714277
subesco,wavlm_base_plus,9,UAR,12,5,0.35714285714285693
subesco,wavlm_base_plus,9,UAR,13,5,6.428571428571425
subesco,wavlm_base_plus,9,UAR,14,5,2.1428571428571432
subesco,wavlm_base_plus,9,UAR,15,5,-1.0714285714285707
subesco,wavlm_base_plus,9,UAR,16,5,3.2142857142857126
subesco,wavlm_base_plus,9,UAR,17,5,2.8571428571428568
subesco,wavlm_base_plus,9,UAR,18,5,2.1428571428571432
subesco,wavlm_base_plus,9,UAR,19,5,7.105427357601002e-16
subesco,wavlm_base_plus,9,UAR,20,5,0.0
subesco,wavlm_base_plus,9,UAR,21,5,1.785714285714286
subesco,wavlm_base_plus,9,UAR,22,5,-3.9285714285714293
subesco,wavlm_base_plus,9,UAR,23,5,0.0
subesco,wavlm_base_plus,10,CE,0,5,1.785714285714286
subesco,wavlm_base_plus,10,CE,1,5,-1.0714285714285716
subesco,wavlm_base_plus,10,CE,2,5,4.285714285714285
subesco,wavlm_base_plus,10,CE,3,5,6.071428571428571
subesco,wavlm_base_plus,10,CE,4,5,1.071428571428568
subesco,wavlm_base_plus,10,CE,5,5,1.0714285714285707
subesco,wavlm_base_plus,10,CE,6,5,0.0
subesco,wavlm_base_plus,10,CE,7,5,2.8571428571428577
subesco,wavlm_base_plus,10,CE,8,5,6.071428571428571
subesco,wavlm_base_plus,10,CE,9,5,0.0
subesco,wavlm_base_plus,10,CE,10,5,0.35714285714285693
subesco,wavlm_base_plus,10,CE,11,5,2.8571428571428568
subesco,wavlm_base_plus,10,CE,12,5,0.7142857142857139
subesco,wavlm_base_plus,10,CE,13,5,4.642857142857143
