corpus,window,draw,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_uar,T_unseen_ce_uar,T_seen_uar_uar,T_unseen_uar_uar,last_window_outer_uar,ce_disagreement,uar_disagreement
subesco,8,21,3.928571428571428,-3.214285714285714,7.1428571428571415,40.71428571428571,36.78571428571429,38.214285714285715,41.42857142857143,41.07142857142857,0.6,0.4
subesco,8,22,0.0,-1.0714285714285707,1.0714285714285707,44.28571428571429,44.28571428571429,43.214285714285715,44.28571428571429,40.0,0.2,0.2
subesco,8,23,5.3571428571428585,-1.4210854715202005e-15,5.357142857142859,47.5,42.142857142857146,45.0,45.0,47.142857142857146,0.6,0.4
subesco,10,0,-1.0714285714285694,-0.35714285714285837,-0.7142857142857111,49.28571428571429,50.357142857142854,48.57142857142857,48.92857142857143,47.85714285714286,0.4,0.6
subesco,10,1,7.857142857142856,-4.642857142857143,12.499999999999998,47.142857142857146,39.28571428571429,43.21428571428571,47.857142857142854,45.0,1.0,0.8
subesco,10,2,3.2142857142857166,-1.7857142857142847,5.000000000000002,47.5,44.285714285714285,45.0,46.785714285714285,44.642857142857146,0.6,0.4
subesco,10,3,2.8571428571428554,1.7857142857142876,1.071428571428568,42.857142857142854,40.0,44.642857142857146,42.857142857142854,42.142857142857146,0.8,0.6
subesco,10,4,4.2857142857142865,0.0,4.2857142857142865,50.357142857142854,46.07142857142857,50.357142857142854,50.357142857142854,51.78571428571429,0.4,0.0
subesco,10,5,0.0,1.0714285714285723,-1.0714285714285723,46.78571428571429,46.78571428571429,46.78571428571429,45.714285714285715,46.07142857142857,0.0,0.4
subesco,10,6,3.2142857142857153,3.9285714285714293,-0.7142857142857139,46.07142857142857,42.857142857142854,46.42857142857143,42.5,43.92857142857143,0.8,0.6
subesco,10,7,1.4285714285714277,-1.4210854715202005e-15,1.4285714285714293,46.07142857142857,44.642857142857146,45.71428571428571,45.714285714285715,44.285714285714285,0.4,0.4
subesco,10,8,4.2857142857142865,-2.8571428571428568,7.142857142857143,44.285714285714285,40.0,42.142857142857146,45.0,41.78571428571429,0.8,1.0
subesco,10,9,2.1428571428571415,1.0714285714285707,1.0714285714285707,46.78571428571429,44.642857142857146,49.642857142857146,48.57142857142857,46.78571428571429,0.6,0.6
subesco,10,10,2.842170943040401e-15,2.1428571428571446,-2.1428571428571415,45.0,45.0,47.142857142857146,45.0,43.92857142857143,0.8,0.8
subesco,10,11,2.4999999999999987,0.7142857142857153,1.7857142857142834,46.78571428571429,44.28571428571429,46.78571428571429,46.07142857142857,47.5,0.8,0.2
subesco,10,12,1.0714285714285707,0.0,1.0714285714285707,42.857142857142854,41.78571428571429,41.07142857142857,41.07142857142857,40.357142857142854,0.4,0.6
subesco,10,13,2.1428571428571432,-0.35714285714285693,2.5,51.42857142857143,49.28571428571429,51.78571428571429,52.142857142857146,47.142857142857146,0.4,0.4
subesco,10,14,1.7857142857142847,0.0,1.7857142857142847,49.285714285714285,47.5,48.57142857142857,48.57142857142857,46.78571428571429,0.2,0.6
subesco,10,15,-1.4285714285714293,-1.4285714285714277,-1.4210854715202005e-15,43.92857142857143,45.35714285714286,43.214285714285715,44.642857142857146,43.57142857142857,0.4,0.6
subesco,10,16,-3.2142857142857153,-1.7857142857142847,-1.4285714285714306,45.357142857142854,48.57142857142857,45.0,46.785714285714285,47.5,0.6,0.8
subesco,10,17,-0.7142857142857139,-2.1428571428571446,1.4285714285714306,44.642857142857146,45.357142857142854,44.28571428571429,46.42857142857143,45.714285714285715,0.6,0.6
subesco,10,18,0.35714285714285554,-0.35714285714285693,0.7142857142857124,43.57142857142857,43.214285714285715,42.5,42.857142857142854,43.21428571428571,0.4,0.8
