unit_id,corpus,draw,fold,window,seen_ce_epoch,T_seen_ce_uar,unseen_ce_epoch,T_unseen_ce_uar,seen_uar_epoch,T_seen_uar_uar,unseen_uar_epoch,T_unseen_uar_uar,D_CE_pp,D_UAR_pp,J_pp,ce_disagreement,uar_disagreement,last_window_outer_uar
fpc_formal_cremad_d10_f3_A,cremad,10,3,8,8,59.31372549019608,3,49.01960784313725,8,59.31372549019608,7,57.35294117647059,10.294117647058826,1.9607843137254903,8.333333333333336,1,1,59.31372549019608
fpc_formal_cremad_d10_f4_A,cremad,10,4,8,6,54.69399881164587,3,49.24242424242424,6,54.69399881164587,6,54.69399881164587,5.451574569221627,0.0,5.451574569221627,1,0,45.855614973262036
fpc_formal_cremad_d11_f0_A,cremad,11,0,8,6,48.13892840208629,6,48.13892840208629,6,48.13892840208629,8,52.14556661925083,0.0,-4.006638217164536,4.006638217164536,0,1,52.14556661925083
fpc_formal_cremad_d11_f1_A,cremad,11,1,8,8,60.573731626363205,8,60.573731626363205,8,60.573731626363205,8,60.573731626363205,0.0,0.0,0.0,0,0,60.573731626363205
fpc_formal_cremad_d11_f2_A,cremad,11,2,8,7,61.40350877192983,7,61.40350877192983,7,61.40350877192983,3,53.07017543859649,0.0,8.333333333333336,-8.333333333333336,0,1,55.26315789473685
fpc_formal_cremad_d11_f3_A,cremad,11,3,8,4,57.84313725490197,4,57.84313725490197,7,53.92156862745098,7,53.92156862745098,0.0,0.0,0.0,0,0,58.333333333333336
fpc_formal_cremad_d11_f4_A,cremad,11,4,8,6,51.29233511586453,7,58.67498514557338,7,58.67498514557338,7,58.67498514557338,-7.382650029708849,0.0,-7.382650029708849,1,0,53.223410576351746
fpc_formal_cremad_d12_f0_A,cremad,12,0,8,6,51.31578947368421,6,51.31578947368421,6,51.31578947368421,6,51.31578947368421,0.0,0.0,0.0,0,0,45.614035087719294
fpc_formal_cremad_d12_f1_A,cremad,12,1,8,5,59.64912280701754,5,59.64912280701754,6,56.57894736842105,7,58.333333333333336,0.0,-1.754385964912288,1.754385964912288,0,1,51.75438596491229
fpc_formal_cremad_d12_f2_A,cremad,12,2,8,4,45.614035087719294,4,45.614035087719294,8,48.24561403508772,8,48.24561403508772,0.0,0.0,0.0,0,0,48.24561403508772
fpc_formal_cremad_d12_f3_A,cremad,12,3,8,6,60.60606060606061,6,60.60606060606061,6,60.60606060606061,6,60.60606060606061,0.0,0.0,0.0,0,0,50.505050505050505
fpc_formal_cremad_d12_f4_A,cremad,12,4,8,6,49.89601901366607,6,49.89601901366607,6,49.89601901366607,6,49.89601901366607,0.0,0.0,0.0,0,0,49.4058229352347
fpc_formal_cremad_d13_f0_A,cremad,13,0,8,8,55.26315789473685,8,55.26315789473685,7,54.824561403508774,7,54.824561403508774,0.0,0.0,0.0,0,0,55.26315789473685
fpc_formal_cremad_d13_f1_A,cremad,13,1,8,6,59.009009009009006,6,59.009009009009006,6,59.009009009009006,6,59.009009009009006,0.0,0.0,0.0,0,0,44.14414414414414
fpc_formal_cremad_d13_f2_A,cremad,13,2,8,6,60.96491228070175,7,62.71929824561403,7,62.71929824561403,7,62.71929824561403,-1.7543859649122737,0.0,-1.7543859649122737,1,0,54.385964912280706
fpc_formal_cremad_d13_f3_A,cremad,13,3,8,7,51.470588235294116,7,51.470588235294116,8,50.49019607843137,6,47.05882352941176,0.0,3.4313725490196063,-3.4313725490196063,0,1,50.49019607843137
fpc_formal_cremad_d13_f4_A,cremad,13,4,8,8,58.333333333333336,7,60.78431372549019,7,60.78431372549019,7,60.78431372549019,-2.4509803921568576,0.0,-2.4509803921568576,1,0,58.333333333333336
fpc_formal_cremad_d14_f0_A,cremad,14,0,8,5,50.43859649122807,5,50.43859649122807,6,48.68421052631579,6,48.68421052631579,0.0,0.0,0.0,0,0,46.49122807017544
fpc_formal_cremad_d14_f1_A,cremad,14,1,8,6,64.03508771929825,6,64.03508771929825,6,64.03508771929825,6,64.03508771929825,0.0,0.0,0.0,0,0,63.59649122807017
fpc_formal_cremad_d14_f2_A,cremad,14,2,8,5,55.5239449976292,7,54.56377430061641,5,55.5239449976292,7,54.56377430061641,0.9601706970127921,0.9601706970127921,0.0,1,1,52.29966808914177
fpc_formal_cremad_d14_f3_A,cremad,14,3,8,8,60.60606060606061,6,58.58585858585859,8,60.60606060606061,8,60.60606060606061,2.0202020202020208,0.0,2.0202020202020208,1,0,60.60606060606061
fpc_formal_cremad_d14_f4_A,cremad,14,4,8,7,44.94949494949495,3,43.43434343434344,8,42.92929292929293,7,44.94949494949495,1.5151515151515085,-2.0202020202020208,3.5353535353535293,1,1,42.92929292929293
fpc_formal_cremad_d15_f0_A,cremad,15,0,8,6,52.63157894736842,6,52.63157894736842,6,52.63157894736842,6,52.63157894736842,0.0,0.0,0.0,0,0,50.0
fpc_formal_cremad_d15_f1_A,cremad,15,1,8,5,47.80701754385965,5,47.80701754385965,8,50.877192982456144,8,50.877192982456144,0.0,0.0,0.0,0,0,50.877192982456144
fpc_formal_cremad_d15_f2_A,cremad,15,2,8,8,55.26315789473685,5,53.50877192982456,8,55.26315789473685,8,55.26315789473685,1.754385964912288,0.0,1.754385964912288,1,0,55.26315789473685
fpc_formal_cremad_d15_f3_A,cremad,15,3,8,8,65.19607843137256,4,53.431372549019606,8,65.19607843137256,8,65.19607843137256,11.76470588235295,0.0,11.76470588235295,1,0,65.19607843137256
fpc_formal_cremad_d15_f4_A,cremad,15,4,8,7,55.88235294117647,7,55.88235294117647,7,55.88235294117647,8,51.9607843137255,0.0,3.9215686274509736,-3.9215686274509736,0,1,51.9607843137255
fpc_formal_cremad_d16_f0_A,cremad,16,0,8,5,49.122807017543856,5,49.122807017543856,8,56.57894736842105,8,56.57894736842105,0.0,0.0,0.0,0,0,56.57894736842105
fpc_formal_cremad_d16_f1_A,cremad,16,1,8,5,53.50877192982456,4,49.56140350877193,5,53.50877192982456,6,53.07017543859649,3.94736842105263,0.43859649122806843,3.5087719298245617,1,1,50.0
fpc_formal_cremad_d16_f2_A,cremad,16,2,8,5,45.17543859649123,5,45.17543859649123,8,49.122807017543856,8,49.122807017543856,0.0,0.0,0.0,0,0,49.122807017543856
fpc_formal_cremad_d16_f3_A,cremad,16,3,8,4,53.431372549019606,4,53.431372549019606,4,53.431372549019606,4,53.431372549019606,0.0,0.0,0.0,0,0,50.49019607843137
fpc_formal_cremad_d16_f4_A,cremad,16,4,8,7,59.80392156862745,5,60.29411764705882,7,59.80392156862745,7,59.80392156862745,-0.49019607843136725,0.0,-0.49019607843136725,1,0,60.29411764705882
fpc_formal_cremad_d17_f0_A,cremad,17,0,8,6,52.59601706970128,6,52.59601706970128,6,52.59601706970128,6,52.59601706970128,0.0,0.0,0.0,0,0,52.5841631104789
fpc_formal_cremad_d17_f1_A,cremad,17,1,8,7,54.054054054054056,7,54.054054054054056,7,54.054054054054056,7,54.054054054054056,0.0,0.0,0.0,0,0,47.93741109530583
fpc_formal_cremad_d17_f2_A,cremad,17,2,8,8,61.8421052631579,6,60.96491228070175,8,61.8421052631579,8,61.8421052631579,0.877192982456144,0.0,0.877192982456144,1,0,61.8421052631579
fpc_formal_cremad_d17_f3_A,cremad,17,3,8,8,55.09506833036245,7,54.1592394533571,8,55.09506833036245,8,55.09506833036245,0.9358288770053491,0.0,0.9358288770053491,1,0,55.09506833036245
fpc_formal_cremad_d17_f4_A,cremad,17,4,8,7,61.274509803921575,7,61.274509803921575,7,61.274509803921575,7,61.274509803921575,0.0,0.0,0.0,0,0,49.01960784313725
fpc_formal_cremad_d18_f0_A,cremad,18,0,8,5,48.24561403508772,3,47.80701754385965,4,49.56140350877193,7,48.24561403508772,0.43859649122806843,1.3157894736842124,-0.877192982456144,1,1,52.63157894736842
fpc_formal_cremad_d18_f1_A,cremad,18,1,8,5,50.43859649122807,5,50.43859649122807,8,53.50877192982456,6,53.94736842105263,0.0,-0.43859649122806843,0.43859649122806843,0,1,53.50877192982456
fpc_formal_cremad_d18_f2_A,cremad,18,2,8,5,54.95495495495496,5,54.95495495495496,6,55.85585585585585,5,54.95495495495496,0.0,0.9009009009008935,-0.9009009009008935,0,1,54.5045045045045
fpc_formal_cremad_d18_f3_A,cremad,18,3,8,6,61.274509803921575,6,61.274509803921575,7,54.90196078431373,6,61.274509803921575,0.0,-6.372549019607845,6.372549019607845,0,1,60.78431372549019
fpc_formal_cremad_d18_f4_A,cremad,18,4,8,7,58.51158645276292,7,58.51158645276292,7,58.51158645276292,7,58.51158645276292,0.0,0.0,0.0,0,0,51.06951871657755
fpc_formal_cremad_d19_f0_A,cremad,19,0,8,8,54.824561403508774,8,54.824561403508774,8,54.824561403508774,8,54.824561403508774,0.0,0.0,0.0,0,0,54.824561403508774
fpc_formal_cremad_d19_f1_A,cremad,19,1,8,5,53.50877192982456,8,56.57894736842105,5,53.50877192982456,8,56.57894736842105,-3.070175438596486,-3.070175438596486,0.0,1,1,56.57894736842105
fpc_formal_cremad_d19_f2_A,cremad,19,2,8,7,56.14035087719298,4,54.824561403508774,7,56.14035087719298,7,56.14035087719298,1.3157894736842053,0.0,1.3157894736842053,1,0,53.50877192982456
fpc_formal_cremad_d19_f3_A,cremad,19,3,8,5,61.76470588235294,5,61.76470588235294,8,63.725490196078425,5,61.76470588235294,0.0,1.9607843137254832,-1.9607843137254832,0,1,63.725490196078425
fpc_formal_cremad_d19_f4_A,cremad,19,4,8,5,58.333333333333336,5,58.333333333333336,7,55.392156862745104,5,58.333333333333336,0.0,-2.941176470588232,2.941176470588232,0,1,59.80392156862745
fpc_formal_cremad_d20_f0_A,cremad,20,0,8,5,47.368421052631575,5,47.368421052631575,6,51.75438596491229,5,47.368421052631575,0.0,4.385964912280713,-4.385964912280713,0,1,49.122807017543856
fpc_formal_cremad_d20_f1_A,cremad,20,1,8,8,59.64912280701754,8,59.64912280701754,8,59.64912280701754,8,59.64912280701754,0.0,0.0,0.0,0,0,59.64912280701754
fpc_formal_cremad_d20_f2_A,cremad,20,2,8,6,53.50877192982456,6,53.50877192982456,6,53.50877192982456,6,53.50877192982456,0.0,0.0,0.0,0,0,51.31578947368421
fpc_formal_cremad_d20_f3_A,cremad,20,3,8,5,59.41770647653001,5,59.41770647653001,5,59.41770647653001,5,59.41770647653001,0.0,0.0,0.0,0,0,56.98158051099228
fpc_formal_cremad_d20_f4_A,cremad,20,4,8,5,50.0,5,50.0,8,51.470588235294116,5,50.0,0.0,1.470588235294116,-1.470588235294116,0,1,51.470588235294116
fpc_formal_cremad_d21_f0_A,cremad,21,0,8,4,52.6434329065908,4,52.6434329065908,8,54.51635846372689,8,54.51635846372689,0.0,0.0,0.0,0,0,54.51635846372689
fpc_formal_cremad_d21_f1_A,cremad,21,1,8,6,60.526315789473685,6,60.526315789473685,8,56.14035087719298,8,56.14035087719298,0.0,0.0,0.0,0,0,56.14035087719298
fpc_formal_cremad_d21_f2_A,cremad,21,2,8,7,63.06306306306306,7,63.06306306306306,8,61.261261261261254,7,63.06306306306306,0.0,-1.8018018018018083,1.8018018018018083,0,1,61.261261261261254
fpc_formal_cremad_d21_f3_A,cremad,21,3,8,5,46.746880570409985,4,42.751039809863336,5,46.746880570409985,4,42.751039809863336,3.995840760546649,3.995840760546649,0.0,1,1,41.785502079619725
fpc_formal_cremad_d21_f4_A,cremad,21,4,8,8,60.29411764705882,5,55.88235294117647,7,57.35294117647059,7,57.35294117647059,4.411764705882348,0.0,4.411764705882348,1,0,60.29411764705882
fpc_formal_cremad_d22_f0_A,cremad,22,0,8,4,54.385964912280706,4,54.385964912280706,6,53.94736842105263,6,53.94736842105263,0.0,0.0,0.0,0,0,53.94736842105263
fpc_formal_cremad_d22_f1_A,cremad,22,1,8,6,55.70175438596491,6,55.70175438596491,6,55.70175438596491,6,55.70175438596491,0.0,0.0,0.0,0,0,56.57894736842105
fpc_formal_cremad_d22_f2_A,cremad,22,2,8,6,53.94736842105263,6,53.94736842105263,7,51.31578947368421,6,53.94736842105263,0.0,-2.6315789473684177,2.6315789473684177,0,1,47.80701754385965
fpc_formal_cremad_d22_f3_A,cremad,22,3,8,6,54.41176470588235,6,54.41176470588235,8,55.88235294117647,6,54.41176470588235,0.0,1.470588235294123,-1.470588235294123,0,1,55.88235294117647
fpc_formal_cremad_d22_f4_A,cremad,22,4,8,6,59.20974450386215,6,59.20974450386215,6,59.20974450386215,6,59.20974450386215,0.0,0.0,0.0,0,0,48.51455733808675
fpc_formal_cremad_d23_f0_A,cremad,23,0,8,8,61.8421052631579,8,61.8421052631579,6,53.50877192982456,8,61.8421052631579,0.0,-8.333333333333336,8.333333333333336,0,1,61.8421052631579
fpc_formal_cremad_d23_f1_A,cremad,23,1,8,5,46.040777619724985,4,46.787577050734946,6,43.847795163584635,5,46.040777619724985,-0.7467994310099613,-2.1929824561403493,1.446183025130388,1,1,43.42105263157895
fpc_formal_cremad_d23_f2_A,cremad,23,2,8,8,57.89473684210527,8,57.89473684210527,8,57.89473684210527,5,59.210526315789465,0.0,-1.3157894736841982,1.3157894736841982,0,1,57.89473684210527
fpc_formal_cremad_d23_f3_A,cremad,23,3,8,5,54.90196078431373,5,54.90196078431373,7,57.84313725490197,4,54.41176470588235,0.0,3.4313725490196205,-3.4313725490196205,0,1,56.372549019607845
