corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
cremad,resnet_se,groupkfold,1072,complete,,3,3,82,0.68121693121693117,0.67479674796747968,0.66059370112044702
cremad,resnet_se,groupkfold,1073,complete,,3,3,82,0.6243386243386243,0.61788617886178854,0.56866763878149074
cremad,resnet_se,groupkfold,1074,complete,,3,3,82,0.47023809523809518,0.4593495934959349,0.41762921174340112
cremad,resnet_se,groupkfold,1075,complete,,3,3,82,0.41600529100529099,0.41463414634146339,0.39664816024389776
cremad,resnet_se,groupkfold,1076,complete,,3,3,81,0.61471861471861466,0.60493827160493829,0.58634621217967697
cremad,resnet_se,groupkfold,1077,complete,,3,3,82,0.49735449735449738,0.48780487804878048,0.44576345717924887
cremad,resnet_se,groupkfold,1078,complete,,3,3,82,0.83333333333333337,0.82926829268292679,0.82403970412651395
cremad,resnet_se,groupkfold,1079,complete,,3,3,82,0.52513227513227501,0.51626016260162599,0.49647948493655442
cremad,resnet_se,groupkfold,1080,complete,,3,3,82,0.66468253968253965,0.66260162601626016,0.6514457284671159
cremad,resnet_se,groupkfold,1081,complete,,3,3,82,0.69907407407407396,0.69918699186991873,0.68900949279174795
cremad,resnet_se,groupkfold,1082,complete,,3,3,82,0.29497354497354494,0.30081300813008133,0.2229877108388961
cremad,resnet_se,groupkfold,1083,complete,,3,3,82,0.52182539682539686,0.52032520325203258,0.49921848246116934
cremad,resnet_se,groupkfold,1084,complete,,3,3,82,0.59523809523809523,0.58943089430894302,0.57167579037852978
cremad,resnet_se,groupkfold,1085,complete,,3,3,82,0.65277777777777779,0.65040650406504064,0.61934844471972006
cremad,resnet_se,groupkfold,1086,complete,,3,3,82,0.5892857142857143,0.58943089430894302,0.56116392888357203
cremad,resnet_se,groupkfold,1087,complete,,3,3,82,0.49140211640211645,0.491869918699187,0.48845402450016434
cremad,resnet_se,groupkfold,1088,complete,,3,3,82,0.50992063492063489,0.50406504065040647,0.47155605576726051
cremad,resnet_se,groupkfold,1089,complete,,3,3,82,0.52843915343915349,0.52845528455284552,0.5026970593126846
cremad,resnet_se,groupkfold,1090,complete,,3,3,82,0.57936507936507942,0.5772357723577235,0.56426053691918276
