corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,cnn,groupkfold,2,16,complete,,60,0.515625,0.53333333333333333,0.48853163341359934
ravdess,cnn,groupkfold,2,17,complete,,60,0.265625,0.23333333333333334,0.17979606600296255
ravdess,cnn,groupkfold,2,18,complete,,60,0.4375,0.45000000000000001,0.3931845931845932
ravdess,cnn,groupkfold,2,19,complete,,60,0.5,0.46666666666666667,0.40796783625730992
ravdess,cnn,groupkfold,2,20,complete,,60,0.34375,0.33333333333333331,0.28478188478188482
ravdess,cnn,groupkfold,2,21,complete,,60,0.390625,0.41666666666666669,0.29054068208479972
ravdess,cnn,groupkfold,2,22,complete,,60,0.421875,0.38333333333333336,0.35523358220726642
ravdess,cnn,groupkfold,2,23,complete,,60,0.25,0.26666666666666666,0.26631701631701632
ravdess,cnn,groupkfold,2,24,complete,,60,0.578125,0.56666666666666665,0.49675324675324678
ravdess,cnn,loso,0,01,complete,,60,0.609375,0.58333333333333337,0.57564983563982419
ravdess,cnn,loso,0,02,complete,,60,0.609375,0.58333333333333337,0.50486633249791146
ravdess,cnn,loso,0,03,complete,,60,0.578125,0.56666666666666665,0.53024219201850786
ravdess,cnn,loso,0,04,complete,,60,0.40625,0.40000000000000002,0.36807359307359311
ravdess,cnn,loso,0,05,complete,,60,0.390625,0.40000000000000002,0.33346396250808014
ravdess,cnn,loso,0,06,complete,,60,0.609375,0.6166666666666667,0.57468709481093383
ravdess,cnn,loso,0,07,complete,,60,0.46875,0.5,0.45751594896331738
ravdess,cnn,loso,0,08,complete,,60,0.609375,0.58333333333333337,0.5434512099154043
ravdess,cnn,loso,0,09,complete,,60,0.25,0.26666666666666666,0.23183940242763773
ravdess,cnn,loso,0,10,complete,,60,0.390625,0.38333333333333336,0.37229796777010399
ravdess,cnn,loso,0,11,complete,,60,0.609375,0.58333333333333337,0.50656961774608833
ravdess,cnn,loso,0,12,complete,,60,0.5,0.51666666666666672,0.45141138101664419
ravdess,cnn,loso,0,13,complete,,60,0.28125,0.25,0.19446190010706138
ravdess,cnn,loso,0,14,complete,,60,0.390625,0.41666666666666669,0.32790268465325673
ravdess,cnn,loso,0,15,complete,,60,0.4375,0.43333333333333335,0.40097731818479898
ravdess,cnn,loso,0,16,complete,,60,0.5,0.51666666666666672,0.47207602339181287
ravdess,cnn,loso,0,17,complete,,60,0.390625,0.41666666666666669,0.39204545454545447
ravdess,cnn,loso,0,18,complete,,60,0.296875,0.29999999999999999,0.26361413784014398
ravdess,cnn,loso,0,19,complete,,60,0.59375,0.56666666666666665,0.53733766233766234
ravdess,cnn,loso,0,20,complete,,60,0.578125,0.55000000000000004,0.52721273824215009
ravdess,cnn,loso,0,21,complete,,60,0.328125,0.34999999999999998,0.22705392433653304
