sequence,unit_id,corpus,model,protocol,seed,outer_fold,status,reason,n_expected_predictions,n_observed_predictions
176,ravdess__resnet_se__loso__s1__f019,ravdess,resnet_se,loso,1,19,success,,60,60
177,ravdess__resnet_se__loso__s1__f020,ravdess,resnet_se,loso,1,20,success,,60,60
178,ravdess__resnet_se__loso__s1__f021,ravdess,resnet_se,loso,1,21,success,,60,60
179,ravdess__resnet_se__loso__s1__f022,ravdess,resnet_se,loso,1,22,success,,60,60
180,ravdess__resnet_se__loso__s1__f023,ravdess,resnet_se,loso,1,23,success,,60,60
181,ravdess__resnet_se__loso__s2__f000,ravdess,resnet_se,loso,2,0,success,,60,60
182,ravdess__resnet_se__loso__s2__f001,ravdess,resnet_se,loso,2,1,success,,60,60
183,ravdess__resnet_se__loso__s2__f002,ravdess,resnet_se,loso,2,2,success,,60,60
184,ravdess__resnet_se__loso__s2__f003,ravdess,resnet_se,loso,2,3,success,,60,60
185,ravdess__resnet_se__loso__s2__f004,ravdess,resnet_se,loso,2,4,success,,60,60
186,ravdess__resnet_se__loso__s2__f005,ravdess,resnet_se,loso,2,5,success,,60,60
187,ravdess__resnet_se__loso__s2__f006,ravdess,resnet_se,loso,2,6,success,,60,60
188,ravdess__resnet_se__loso__s2__f007,ravdess,resnet_se,loso,2,7,success,,60,60
189,ravdess__resnet_se__loso__s2__f008,ravdess,resnet_se,loso,2,8,success,,60,60
190,ravdess__resnet_se__loso__s2__f009,ravdess,resnet_se,loso,2,9,success,,60,60
191,ravdess__resnet_se__loso__s2__f010,ravdess,resnet_se,loso,2,10,success,,60,60
192,ravdess__resnet_se__loso__s2__f011,ravdess,resnet_se,loso,2,11,success,,60,60
193,ravdess__resnet_se__loso__s2__f012,ravdess,resnet_se,loso,2,12,success,,60,60
194,ravdess__resnet_se__loso__s2__f013,ravdess,resnet_se,loso,2,13,success,,60,60
195,ravdess__resnet_se__loso__s2__f014,ravdess,resnet_se,loso,2,14,success,,60,60
196,ravdess__resnet_se__loso__s2__f015,ravdess,resnet_se,loso,2,15,success,,60,60
197,ravdess__resnet_se__loso__s2__f016,ravdess,resnet_se,loso,2,16,success,,60,60
198,ravdess__resnet_se__loso__s2__f017,ravdess,resnet_se,loso,2,17,success,,60,60
199,ravdess__resnet_se__loso__s2__f018,ravdess,resnet_se,loso,2,18,success,,60,60
200,ravdess__resnet_se__loso__s2__f019,ravdess,resnet_se,loso,2,19,success,,60,60
201,ravdess__resnet_se__loso__s2__f020,ravdess,resnet_se,loso,2,20,success,,60,60
202,ravdess__resnet_se__loso__s2__f021,ravdess,resnet_se,loso,2,21,success,,60,60
203,ravdess__resnet_se__loso__s2__f022,ravdess,resnet_se,loso,2,22,success,,60,60
204,ravdess__resnet_se__loso__s2__f023,ravdess,resnet_se,loso,2,23,success,,60,60
205,ravdess__transformer__random__s0__f000,ravdess,transformer,random,0,0,success,,288,288
206,ravdess__transformer__random__s0__f001,ravdess,transformer,random,0,1,success,,288,288
207,ravdess__transformer__random__s0__f002,ravdess,transformer,random,0,2,success,,288,288
208,ravdess__transformer__random__s0__f003,ravdess,transformer,random,0,3,success,,288,288
209,ravdess__transformer__random__s0__f004,ravdess,transformer,random,0,4,success,,288,288
210,ravdess__transformer__random__s1__f000,ravdess,transformer,random,1,0,success,,288,288
211,ravdess__transformer__random__s1__f001,ravdess,transformer,random,1,1,success,,288,288
212,ravdess__transformer__random__s1__f002,ravdess,transformer,random,1,2,success,,288,288
213,ravdess__transformer__random__s1__f003,ravdess,transformer,random,1,3,success,,288,288
214,ravdess__transformer__random__s1__f004,ravdess,transformer,random,1,4,success,,288,288
215,ravdess__transformer__random__s2__f000,ravdess,transformer,random,2,0,success,,288,288
216,ravdess__transformer__random__s2__f001,ravdess,transformer,random,2,1,success,,288,288
217,ravdess__transformer__random__s2__f002,ravdess,transformer,random,2,2,success,,288,288
218,ravdess__transformer__random__s2__f003,ravdess,transformer,random,2,3,success,,288,288
219,ravdess__transformer__random__s2__f004,ravdess,transformer,random,2,4,success,,288,288
220,ravdess__transformer__groupkfold__s0__f000,ravdess,transformer,groupkfold,0,0,success,,300,300
221,ravdess__transformer__groupkfold__s0__f001,ravdess,transformer,groupkfold,0,1,success,,300,300
222,ravdess__transformer__groupkfold__s0__f002,ravdess,transformer,groupkfold,0,2,success,,300,300
223,ravdess__transformer__groupkfold__s0__f003,ravdess,transformer,groupkfold,0,3,success,,300,300
224,ravdess__transformer__groupkfold__s0__f004,ravdess,transformer,groupkfold,0,4,success,,240,240
225,ravdess__transformer__groupkfold__s1__f000,ravdess,transformer,groupkfold,1,0,success,,300,300
226,ravdess__transformer__groupkfold__s1__f001,ravdess,transformer,groupkfold,1,1,success,,300,300
227,ravdess__transformer__groupkfold__s1__f002,ravdess,transformer,groupkfold,1,2,success,,300,300
228,ravdess__transformer__groupkfold__s1__f003,ravdess,transformer,groupkfold,1,3,success,,300,300
229,ravdess__transformer__groupkfold__s1__f004,ravdess,transformer,groupkfold,1,4,success,,240,240
230,ravdess__transformer__groupkfold__s2__f000,ravdess,transformer,groupkfold,2,0,success,,300,300
231,ravdess__transformer__groupkfold__s2__f001,ravdess,transformer,groupkfold,2,1,success,,300,300
232,ravdess__transformer__groupkfold__s2__f002,ravdess,transformer,groupkfold,2,2,success,,300,300
233,ravdess__transformer__groupkfold__s2__f003,ravdess,transformer,groupkfold,2,3,success,,300,300
234,ravdess__transformer__groupkfold__s2__f004,ravdess,transformer,groupkfold,2,4,success,,240,240
235,ravdess__transformer__loso__s0__f000,ravdess,transformer,loso,0,0,success,,60,60
236,ravdess__transformer__loso__s0__f001,ravdess,transformer,loso,0,1,success,,60,60
237,ravdess__transformer__loso__s0__f002,ravdess,transformer,loso,0,2,success,,60,60
238,ravdess__transformer__loso__s0__f003,ravdess,transformer,loso,0,3,success,,60,60
239,ravdess__transformer__loso__s0__f004,ravdess,transformer,loso,0,4,success,,60,60
240,ravdess__transformer__loso__s0__f005,ravdess,transformer,loso,0,5,success,,60,60
241,ravdess__transformer__loso__s0__f006,ravdess,transformer,loso,0,6,success,,60,60
242,ravdess__transformer__loso__s0__f007,ravdess,transformer,loso,0,7,success,,60,60
243,ravdess__transformer__loso__s0__f008,ravdess,transformer,loso,0,8,success,,60,60
244,ravdess__transformer__loso__s0__f009,ravdess,transformer,loso,0,9,success,,60,60
245,ravdess__transformer__loso__s0__f010,ravdess,transformer,loso,0,10,success,,60,60
246,ravdess__transformer__loso__s0__f011,ravdess,transformer,loso,0,11,success,,60,60
247,ravdess__transformer__loso__s0__f012,ravdess,transformer,loso,0,12,success,,60,60
248,ravdess__transformer__loso__s0__f013,ravdess,transformer,loso,0,13,success,,60,60
249,ravdess__transformer__loso__s0__f014,ravdess,transformer,loso,0,14,success,,60,60
250,ravdess__transformer__loso__s0__f015,ravdess,transformer,loso,0,15,success,,60,60
251,ravdess__transformer__loso__s0__f016,ravdess,transformer,loso,0,16,success,,60,60
252,ravdess__transformer__loso__s0__f017,ravdess,transformer,loso,0,17,success,,60,60
253,ravdess__transformer__loso__s0__f018,ravdess,transformer,loso,0,18,success,,60,60
254,ravdess__transformer__loso__s0__f019,ravdess,transformer,loso,0,19,success,,60,60
255,ravdess__transformer__loso__s0__f020,ravdess,transformer,loso,0,20,success,,60,60
256,ravdess__transformer__loso__s0__f021,ravdess,transformer,loso,0,21,success,,60,60
257,ravdess__transformer__loso__s0__f022,ravdess,transformer,loso,0,22,success,,60,60
258,ravdess__transformer__loso__s0__f023,ravdess,transformer,loso,0,23,success,,60,60
259,ravdess__transformer__loso__s1__f000,ravdess,transformer,loso,1,0,success,,60,60
260,ravdess__transformer__loso__s1__f001,ravdess,transformer,loso,1,1,success,,60,60
261,ravdess__transformer__loso__s1__f002,ravdess,transformer,loso,1,2,success,,60,60
262,ravdess__transformer__loso__s1__f003,ravdess,transformer,loso,1,3,success,,60,60
263,ravdess__transformer__loso__s1__f004,ravdess,transformer,loso,1,4,success,,60,60
264,ravdess__transformer__loso__s1__f005,ravdess,transformer,loso,1,5,success,,60,60
265,ravdess__transformer__loso__s1__f006,ravdess,transformer,loso,1,6,success,,60,60
266,ravdess__transformer__loso__s1__f007,ravdess,transformer,loso,1,7,success,,60,60
267,ravdess__transformer__loso__s1__f008,ravdess,transformer,loso,1,8,success,,60,60
268,ravdess__transformer__loso__s1__f009,ravdess,transformer,loso,1,9,success,,60,60
269,ravdess__transformer__loso__s1__f010,ravdess,transformer,loso,1,10,success,,60,60
270,ravdess__transformer__loso__s1__f011,ravdess,transformer,loso,1,11,success,,60,60
271,ravdess__transformer__loso__s1__f012,ravdess,transformer,loso,1,12,success,,60,60
272,ravdess__transformer__loso__s1__f013,ravdess,transformer,loso,1,13,success,,60,60
273,ravdess__transformer__loso__s1__f014,ravdess,transformer,loso,1,14,success,,60,60
274,ravdess__transformer__loso__s1__f015,ravdess,transformer,loso,1,15,success,,60,60
275,ravdess__transformer__loso__s1__f016,ravdess,transformer,loso,1,16,success,,60,60
276,ravdess__transformer__loso__s1__f017,ravdess,transformer,loso,1,17,success,,60,60
277,ravdess__transformer__loso__s1__f018,ravdess,transformer,loso,1,18,success,,60,60
278,ravdess__transformer__loso__s1__f019,ravdess,transformer,loso,1,19,success,,60,60
279,ravdess__transformer__loso__s1__f020,ravdess,transformer,loso,1,20,success,,60,60
280,ravdess__transformer__loso__s1__f021,ravdess,transformer,loso,1,21,success,,60,60
281,ravdess__transformer__loso__s1__f022,ravdess,transformer,loso,1,22,success,,60,60
282,ravdess__transformer__loso__s1__f023,ravdess,transformer,loso,1,23,success,,60,60
283,ravdess__transformer__loso__s2__f000,ravdess,transformer,loso,2,0,success,,60,60
284,ravdess__transformer__loso__s2__f001,ravdess,transformer,loso,2,1,success,,60,60
285,ravdess__transformer__loso__s2__f002,ravdess,transformer,loso,2,2,success,,60,60
286,ravdess__transformer__loso__s2__f003,ravdess,transformer,loso,2,3,success,,60,60
287,ravdess__transformer__loso__s2__f004,ravdess,transformer,loso,2,4,success,,60,60
288,ravdess__transformer__loso__s2__f005,ravdess,transformer,loso,2,5,success,,60,60
289,ravdess__transformer__loso__s2__f006,ravdess,transformer,loso,2,6,success,,60,60
290,ravdess__transformer__loso__s2__f007,ravdess,transformer,loso,2,7,success,,60,60
291,ravdess__transformer__loso__s2__f008,ravdess,transformer,loso,2,8,success,,60,60
292,ravdess__transformer__loso__s2__f009,ravdess,transformer,loso,2,9,success,,60,60
293,ravdess__transformer__loso__s2__f010,ravdess,transformer,loso,2,10,success,,60,60
294,ravdess__transformer__loso__s2__f011,ravdess,transformer,loso,2,11,success,,60,60
295,ravdess__transformer__loso__s2__f012,ravdess,transformer,loso,2,12,success,,60,60
296,ravdess__transformer__loso__s2__f013,ravdess,transformer,loso,2,13,success,,60,60
297,ravdess__transformer__loso__s2__f014,ravdess,transformer,loso,2,14,success,,60,60
298,ravdess__transformer__loso__s2__f015,ravdess,transformer,loso,2,15,success,,60,60
299,ravdess__transformer__loso__s2__f016,ravdess,transformer,loso,2,16,success,,60,60
300,ravdess__transformer__loso__s2__f017,ravdess,transformer,loso,2,17,success,,60,60
301,ravdess__transformer__loso__s2__f018,ravdess,transformer,loso,2,18,success,,60,60
302,ravdess__transformer__loso__s2__f019,ravdess,transformer,loso,2,19,success,,60,60
303,ravdess__transformer__loso__s2__f020,ravdess,transformer,loso,2,20,success,,60,60
304,ravdess__transformer__loso__s2__f021,ravdess,transformer,loso,2,21,success,,60,60
305,ravdess__transformer__loso__s2__f022,ravdess,transformer,loso,2,22,success,,60,60
306,ravdess__transformer__loso__s2__f023,ravdess,transformer,loso,2,23,success,,60,60
307,ravdess__fno__random__s0__f000,ravdess,fno,random,0,0,success,,288,288
