corpus,model,contrast,protocol_a,protocol_b,speaker_id,status,reason,n_required_seeds_per_protocol,uar_difference,accuracy_difference,macro_f1_difference
cremad,transformer,GL,groupkfold,loso,1033,complete,,3,0.0099206349206348299,0.012195121951219523,0.0072501465567549328
cremad,transformer,GL,groupkfold,loso,1034,complete,,3,0.038359788359788372,0.036585365853658569,0.045151355248870151
cremad,transformer,GL,groupkfold,loso,1035,complete,,3,-0.0019841269841269771,-0.0040650406504065817,-0.0057631663381201292
cremad,transformer,GL,groupkfold,loso,1036,complete,,3,-0.04629629629629628,-0.044715447154471566,-0.034286361477521343
cremad,transformer,GL,groupkfold,loso,1037,complete,,3,-0.091931216931217086,-0.093495934959349491,-0.10527856171238159
cremad,transformer,GL,groupkfold,loso,1038,complete,,3,0.021825396825396748,0.020325203252032464,0.030535807125216308
cremad,transformer,GL,groupkfold,loso,1039,complete,,3,-0.012566137566137503,-0.012195121951219523,-0.0073010362281220598
cremad,transformer,GL,groupkfold,loso,1040,complete,,3,0.011243386243386277,0.012195121951219523,0.011631442305142903
cremad,transformer,GL,groupkfold,loso,1041,complete,,3,-0.076058201058201158,-0.073170731707317138,-0.078571970309996741
cremad,transformer,GL,groupkfold,loso,1042,complete,,3,-0.035052910052910113,-0.036585365853658569,-0.05607586011641591
cremad,transformer,GL,groupkfold,loso,1043,complete,,3,-0.046957671957671865,-0.044715447154471399,-0.031887653039777697
cremad,transformer,GL,groupkfold,loso,1044,complete,,3,-0.020502645502645578,-0.020325203252032464,-0.034374865898313289
cremad,transformer,GL,groupkfold,loso,1045,complete,,3,-0.019179894179894186,-0.020325203252032575,-0.019448491857336769
cremad,transformer,GL,groupkfold,loso,1046,complete,,3,0.01455026455026448,0.016260162601626049,0.0079204243935709906
cremad,transformer,GL,groupkfold,loso,1047,complete,,3,-0.088624338624338606,-0.089430894308943021,-0.09394517155997939
cremad,transformer,GL,groupkfold,loso,1048,complete,,3,0.04166666666666663,0.040650406504064929,0.036675750681758768
cremad,transformer,GL,groupkfold,loso,1049,complete,,3,0.041666666666666685,0.04065040650406504,0.042962182993410203
cremad,transformer,GL,groupkfold,loso,1050,complete,,3,0.013227513227513255,0.012195121951219301,0.023696623723473365
cremad,transformer,GL,groupkfold,loso,1051,complete,,3,-0.13888888888888884,-0.13414634146341475,-0.13572511735377712
cremad,transformer,GL,groupkfold,loso,1052,complete,,3,-0.0052910052910052352,-0.0081300813008129413,-0.0021052312529059591
cremad,transformer,GL,groupkfold,loso,1053,complete,,3,-0.078703703703703554,-0.077235772357723664,-0.071174582521066732
cremad,transformer,GL,groupkfold,loso,1054,complete,,3,-0.035052910052910113,-0.036585365853658569,-0.038772366570177463
cremad,transformer,GL,groupkfold,loso,1055,complete,,3,-0.033068783068783136,-0.032520325203251987,-0.036339749873331884
cremad,transformer,GL,groupkfold,loso,1056,complete,,3,-0.042989417989417911,-0.04471544715447151,-0.044038941737633175
cremad,transformer,GL,groupkfold,loso,1057,complete,,3,5.5511151231257827e-17,0,-0.012601846057944954
cremad,transformer,GL,groupkfold,loso,1058,complete,,3,-0.01256613756613767,-0.0081300813008129413,-0.029148904741505
cremad,transformer,GL,groupkfold,loso,1059,complete,,3,0.0099206349206349409,0.0081300813008129968,0.025327671427538723
cremad,transformer,GL,groupkfold,loso,1060,complete,,3,0.010582010582010581,0.012195121951219412,-0.0026582301845882172
cremad,transformer,GL,groupkfold,loso,1061,complete,,3,-0.057539682539682446,-0.056910569105691033,-0.054566873864526744
cremad,transformer,GL,groupkfold,loso,1062,complete,,3,-0.0092592592592594114,-0.0081300813008129413,-0.0069207001810709379
