corpus,comparison,model,window,endpoint,unit,hypothesis_test,mean_pp,n_draws,df,sd_draw_pp,se_pp,interval_scope,p_two_sided,holm_p_ten,pointwise_95_ci_pp,status,t_statistic
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_unseen_uar,percentage_points,False,1.9642857142857142,24,23,2.859083192074239,0.5836079127291364,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.7570007641178103, 3.1715706644536183]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_last,percentage_points,False,2.0386904761904763,24,23,3.2400266169518797,0.6613676637140092,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.670547225363425, 3.4068337270175277]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,D_CE,percentage_points,False,4.017857142857143,24,23,2.8007834180996647,0.5717075211993615,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[2.8351900281942743, 5.200524257520012]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,D_UAR,percentage_points,False,0.4017857142857143,24,23,2.064597055762197,0.421434109255821,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.47001716311651254, 1.273588591687941]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,J,percentage_points,False,3.6160714285714284,24,23,3.040163892805746,0.6205708559839543,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[2.332322804535958, 4.8998200526068985]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,T_seen_ce,UAR_percent,False,48.61607142857143,24,23,2.0348355409696524,0.4153590654879853,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[47.75683573669317, 49.47530712044969]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,T_unseen_ce,UAR_percent,False,44.598214285714285,24,23,3.340869272776431,0.6819520846371137,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[43.187488915888586, 46.00893965553998]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,T_seen_uar,UAR_percent,False,49.836309523809526,24,23,2.3121030239534615,0.47195605345266445,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[48.85999404205133, 50.81262500556772]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,T_unseen_uar,UAR_percent,False,49.43452380952381,24,23,2.837503672698268,0.5792030117820004,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[48.23635109122334, 50.63269652782428]",descriptive_estimate,NA
subesco,model_window,hubert_base,15,T_last,UAR_percent,False,49.04761904761905,24,23,3.0133293548251068,0.6150932788559627,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[47.77520165519606, 50.320036440042045]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,D_CE,percentage_points,False,2.3363095238095237,24,23,2.6787870858664578,0.5468051241608275,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[1.2051569422980952, 3.4674621053209522]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,D_UAR,percentage_points,False,0.47619047619047616,24,23,2.5158474351728795,0.5135452072386113,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.5861587250579047, 1.5385396774388571]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,J,percentage_points,False,1.8601190476190477,24,23,3.1329940638628635,0.6395197353027225,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.5371716801718951, 3.1830664150662002]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,T_seen_ce,UAR_percent,False,48.11011904761905,24,23,2.6485986958691634,0.5406429448567015,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[46.99171390522187, 49.22852419001623]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,T_unseen_ce,UAR_percent,False,45.773809523809526,24,23,4.104159957400565,0.8377581431995109,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[44.040774765189326, 47.506844282429725]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,T_seen_uar,UAR_percent,False,47.94642857142857,24,23,2.4749185497429163,0.5051906334849244,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[46.90136212275756, 48.99149502009958]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,T_unseen_uar,UAR_percent,False,47.470238095238095,24,23,2.6931109874808845,0.5497289783342586,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[46.33303706053904, 48.60743912993715]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,15,T_last,UAR_percent,False,47.00892857142857,24,23,2.7820339201597197,0.5678802959588424,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[45.83417867538629, 48.18367846747085]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,D_CE,percentage_points,False,2.619047619047619,24,23,2.8291851604288003,0.5775050025753939,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[1.4243875004149582, 3.81370773768028]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,D_UAR,percentage_points,False,0.49107142857142855,24,23,2.3497732054658194,0.4796454470546062,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.5011507757809295, 1.4832936329237865]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,J,percentage_points,False,2.1279761904761907,24,23,2.708639040376178,0.5528986288586266,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.9842182340975356, 3.271734146854846]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,T_seen_ce,UAR_percent,False,48.392857142857146,24,23,2.615987295405873,0.5339861706123162,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[47.28822258716146, 49.497491698552835]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,T_unseen_ce,UAR_percent,False,45.773809523809526,24,23,4.104159957400565,0.8377581431995109,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[44.040774765189326, 47.506844282429725]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,T_seen_uar,UAR_percent,False,49.61309523809524,24,23,3.0211408807330256,0.6166877999048737,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[48.337379327569444, 50.88881114862104]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,T_unseen_uar,UAR_percent,False,49.12202380952381,24,23,3.09021979320317,0.6307884738663933,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[47.817138432495476, 50.426909186552145]",descriptive_estimate,NA
subesco,model_window,wavlm_base_plus,45,T_last,UAR_percent,False,48.839285714285715,24,23,3.4324673775779204,0.7006494694845826,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[47.38988185700036, 50.28868957157107]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,D_CE,percentage_points,False,0.28273809523809523,24,23,0.6904337996554019,0.14093420919389357,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.008806529179242961, 0.5742827196554334]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,D_UAR,percentage_points,False,0.01488095238095238,24,23,2.511020886951303,0.5125599922084613,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-1.0454301762974094, 1.075192081059314]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,J,percentage_points,False,0.26785714285714285,24,23,2.4365278872853224,0.4973541723258805,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.7609983507984568, 1.2967126365127424]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,T_seen_ce,percentage_points,False,0.28273809523809523,24,23,0.6904337996554019,0.14093420919389357,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.008806529179242961, 0.5742827196554334]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,T_unseen_ce,percentage_points,False,0.0,24,23,0.0,0.0,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,NA,undefined_t_zero_sample_variance,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,T_seen_uar,percentage_points,False,1.6666666666666667,24,23,2.4123192648224037,0.4924126079583946,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.6480335777472424, 2.685299755586091]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,T_unseen_uar,percentage_points,False,1.6517857142857142,24,23,2.11632775526426,0.43199359407392945,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.7581388782524028, 2.545432550319026]",descriptive_estimate,NA
subesco,window45_minus15,wavlm_base_plus,45_minus15,T_last,percentage_points,False,1.8303571428571428,24,23,2.3627180913218253,0.4822878108150883,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.832668792602168, 2.8280454931121177]",descriptive_estimate,NA
