unit_id,corpus,draw,fold,model,epoch,seen_ce,unseen_ce,seen_uar,unseen_uar,outer_uar,uar_unit,ce_unit
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,23,1.2823346321993008,1.8315509874948857,64.28571428571429,54.464285714285715,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,24,1.515021883479107,2.1946992374090906,61.607142857142854,46.42857142857143,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,25,1.3901372484098888,2.1287296636575457,66.07142857142857,54.464285714285715,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,26,1.3476156967881046,1.9658383584140187,66.07142857142857,55.357142857142854,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,27,1.4614075800651156,1.8761688886706869,60.714285714285715,56.25,60.714285714285715,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,28,1.3618633305106675,1.9289995611657298,66.96428571428571,59.82142857142857,51.785714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,29,1.5450316365377363,2.2508185405206986,63.392857142857146,44.642857142857146,58.92857142857143,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,30,1.4131219507088673,1.9323162280489552,63.392857142857146,56.25,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,31,1.340226500239074,1.7301688361958483,65.17857142857143,58.92857142857143,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,32,1.3698909279533384,1.8614483813315625,68.75,58.035714285714285,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,33,1.4840837472786654,1.7701140363558456,65.17857142857143,58.035714285714285,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,34,1.722843731158115,2.172339374169756,60.714285714285715,47.32142857142857,51.785714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,35,1.5396022697718357,2.0407415630892958,64.28571428571429,50.0,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,36,1.5347001603436232,2.14067115017172,61.607142857142854,54.464285714285715,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,37,1.515035094847194,2.165540301033467,61.607142857142854,50.892857142857146,53.57142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,38,1.5439507117640026,1.9189734312356255,64.28571428571429,53.57142857142857,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,39,1.4266504952597612,2.0688173599176025,64.28571428571429,53.57142857142857,51.785714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,40,1.4381963005263738,2.13693130043674,63.392857142857146,52.67857142857143,53.57142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,41,1.4197583133919895,2.093478028546247,66.07142857142857,52.67857142857143,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,42,1.4247292977381723,2.0494304297791515,65.17857142857143,52.67857142857143,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,43,1.451736218905692,2.145223597611317,66.07142857142857,52.67857142857143,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,44,1.464121860812639,2.1351400831265743,65.17857142857143,53.57142857142857,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,45,1.4684206293704634,2.135656428055873,65.17857142857143,54.464285714285715,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,1,1.8092641929915436,1.8417579662146724,33.92857142857143,26.785714285714285,39.285714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,2,1.5696172306971334,1.6812145656699649,41.07142857142857,31.25,50.0,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,3,1.5078431322519965,1.847298604383757,42.857142857142854,26.785714285714285,35.714285714285715,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,4,1.4160665816739129,1.8110910478974842,43.75,31.25,50.0,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,5,1.2525509370684489,1.4431704722193943,51.785714285714285,43.75,48.214285714285715,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,6,1.288253381738541,1.8289835673287607,50.892857142857146,37.5,53.57142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,7,1.2643505238295956,1.9096911746277259,54.464285714285715,40.17857142857143,50.0,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,8,1.2193222162495603,1.8924818302542998,56.25,43.75,53.57142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,9,1.5808399945507043,2.4543212481633634,50.892857142857146,35.714285714285715,46.42857142857143,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,10,1.3361075448677444,2.125788904997083,56.25,44.642857142857146,51.785714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,11,1.4080783972161452,2.3976141861368356,57.142857142857146,39.285714285714285,46.42857142857143,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,12,1.4106516378485563,2.2893790703276946,58.035714285714285,45.535714285714285,53.57142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,13,1.4914110034562518,2.49764781210454,59.82142857142857,40.17857142857143,53.57142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,14,1.4386164597357791,2.47569960051754,61.607142857142854,42.857142857142854,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_hubert_base_A,subesco,19,2,hubert_base,15,1.5303000032115344,2.415044383430577,58.92857142857143,50.892857142857146,50.0,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f3_wavlm_base_plus_A,subesco,19,3,wavlm_base_plus,1,1.9190350030243357,1.9229196469704815,25.892857142857142,23.214285714285715,21.428571428571427,UAR_percent,natural_log_loss
