unit_id,corpus,draw,fold,model,window,rule,selected_epoch,unit,oracle_shortfall_unit,outer_uar,oracle_outer_uar,oracle_shortfall_pp,oracle_used_for_selection
ads2_formal_cremad_d02_f1_hubert_base_A,cremad,2,1,hubert_base,15,seen_uar,12,UAR_percent,percentage_points,57.45614035087719,60.526315789473685,3.0701754385964914,False
ads2_formal_cremad_d02_f1_hubert_base_A,cremad,2,1,hubert_base,15,unseen_uar,12,UAR_percent,percentage_points,57.45614035087719,60.526315789473685,3.0701754385964914,False
ads2_formal_cremad_d02_f2_wavlm_base_plus_A,cremad,2,2,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,60.08771929824562,60.08771929824562,0.0,False
ads2_formal_cremad_d02_f2_wavlm_base_plus_A,cremad,2,2,wavlm_base_plus,15,seen_ce,4,UAR_percent,percentage_points,50.43859649122807,60.08771929824562,9.649122807017545,False
ads2_formal_cremad_d02_f2_wavlm_base_plus_A,cremad,2,2,wavlm_base_plus,15,unseen_ce,4,UAR_percent,percentage_points,50.43859649122807,60.08771929824562,9.649122807017545,False
ads2_formal_cremad_d02_f2_wavlm_base_plus_A,cremad,2,2,wavlm_base_plus,15,seen_uar,13,UAR_percent,percentage_points,57.45614035087719,60.08771929824562,2.6315789473684212,False
ads2_formal_cremad_d02_f2_wavlm_base_plus_A,cremad,2,2,wavlm_base_plus,15,unseen_uar,15,UAR_percent,percentage_points,60.08771929824562,60.08771929824562,0.0,False
ads2_formal_cremad_d02_f2_hubert_base_A,cremad,2,2,hubert_base,15,last,15,UAR_percent,percentage_points,58.771929824561404,61.40350877192982,2.6315789473684212,False
ads2_formal_cremad_d02_f2_hubert_base_A,cremad,2,2,hubert_base,15,seen_ce,8,UAR_percent,percentage_points,61.40350877192982,61.40350877192982,0.0,False
ads2_formal_cremad_d02_f2_hubert_base_A,cremad,2,2,hubert_base,15,unseen_ce,5,UAR_percent,percentage_points,52.63157894736842,61.40350877192982,8.771929824561404,False
ads2_formal_cremad_d02_f2_hubert_base_A,cremad,2,2,hubert_base,15,seen_uar,10,UAR_percent,percentage_points,60.96491228070175,61.40350877192982,0.43859649122807015,False
ads2_formal_cremad_d02_f2_hubert_base_A,cremad,2,2,hubert_base,15,unseen_uar,10,UAR_percent,percentage_points,60.96491228070175,61.40350877192982,0.43859649122807015,False
ads2_formal_cremad_d02_f3_wavlm_base_plus_A,cremad,2,3,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,47.92038027332145,52.406417112299465,4.486036838978015,False
ads2_formal_cremad_d02_f3_wavlm_base_plus_A,cremad,2,3,wavlm_base_plus,15,seen_ce,7,UAR_percent,percentage_points,49.94058229352347,52.406417112299465,2.465834818775995,False
ads2_formal_cremad_d02_f3_wavlm_base_plus_A,cremad,2,3,wavlm_base_plus,15,unseen_ce,7,UAR_percent,percentage_points,49.94058229352347,52.406417112299465,2.465834818775995,False
ads2_formal_cremad_d02_f3_wavlm_base_plus_A,cremad,2,3,wavlm_base_plus,15,seen_uar,11,UAR_percent,percentage_points,47.93523469994058,52.406417112299465,4.471182412358883,False
ads2_formal_cremad_d02_f3_wavlm_base_plus_A,cremad,2,3,wavlm_base_plus,15,unseen_uar,9,UAR_percent,percentage_points,49.390968508615565,52.406417112299465,3.0154486036838977,False
ads2_formal_cremad_d02_f3_hubert_base_A,cremad,2,3,hubert_base,15,last,15,UAR_percent,percentage_points,54.426619132501486,55.3921568627451,0.9655377302436126,False
ads2_formal_cremad_d02_f3_hubert_base_A,cremad,2,3,hubert_base,15,seen_ce,5,UAR_percent,percentage_points,53.475935828877006,55.3921568627451,1.9162210338680927,False
ads2_formal_cremad_d02_f3_hubert_base_A,cremad,2,3,hubert_base,15,unseen_ce,5,UAR_percent,percentage_points,53.475935828877006,55.3921568627451,1.9162210338680927,False
ads2_formal_cremad_d02_f3_hubert_base_A,cremad,2,3,hubert_base,15,seen_uar,11,UAR_percent,percentage_points,55.3921568627451,55.3921568627451,0.0,False
ads2_formal_cremad_d02_f3_hubert_base_A,cremad,2,3,hubert_base,15,unseen_uar,14,UAR_percent,percentage_points,52.391562685680334,55.3921568627451,3.0005941770647655,False
ads2_formal_cremad_d02_f4_wavlm_base_plus_A,cremad,2,4,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,51.97563874034462,55.273321449792036,3.2976827094474155,False
ads2_formal_cremad_d02_f4_wavlm_base_plus_A,cremad,2,4,wavlm_base_plus,15,seen_ce,7,UAR_percent,percentage_points,53.89185977421271,55.273321449792036,1.3814616755793225,False
