unit_id,corpus,draw,fold,model,window,units,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_pp,T_unseen_ce_pp,T_seen_uar_pp,T_unseen_uar_pp,T_last_pp,epoch_last,epoch_seen_ce,epoch_unseen_ce,epoch_seen_uar,epoch_unseen_uar,ce_epoch_disagreement,uar_epoch_disagreement
ads2_formal_cremad_d03_f0_wavlm_base_plus_A,cremad,3,0,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.8771929824561403,0.8771929824561403,0.0,54.824561403508774,53.94736842105263,54.824561403508774,53.94736842105263,53.07017543859649,15,5,7,5,7,1,1
ads2_formal_cremad_d03_f0_hubert_base_A,cremad,3,0,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,6.140350877192983,-6.140350877192983,62.280701754385966,62.280701754385966,62.280701754385966,56.14035087719298,64.47368421052632,15,5,5,5,9,0,1
ads2_formal_cremad_d03_f1_wavlm_base_plus_A,cremad,3,1,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-3.0701754385964914,0.0,-3.0701754385964914,52.19298245614035,55.26315789473684,57.45614035087719,57.45614035087719,50.0,15,6,4,11,11,1,0
ads2_formal_cremad_d03_f1_hubert_base_A,cremad,3,1,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.43859649122807015,-0.43859649122807015,57.45614035087719,57.45614035087719,56.14035087719298,55.70175438596491,59.21052631578947,15,4,4,7,8,0,1
ads2_formal_cremad_d03_f2_wavlm_base_plus_A,cremad,3,2,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-1.7543859649122806,1.7543859649122806,44.73684210526316,44.73684210526316,48.68421052631579,50.43859649122807,48.24561403508772,15,4,4,5,11,0,1
ads2_formal_cremad_d03_f2_hubert_base_A,cremad,3,2,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,53.94736842105263,53.94736842105263,60.08771929824562,60.08771929824562,55.70175438596491,15,4,4,8,8,0,0
ads2_formal_cremad_d03_f3_wavlm_base_plus_A,cremad,3,3,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.9803921568627451,0.9803921568627451,0.0,61.27450980392157,60.294117647058826,61.27450980392157,60.294117647058826,58.333333333333336,15,5,6,5,6,1,1
ads2_formal_cremad_d03_f3_hubert_base_A,cremad,3,3,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.49019607843137253,-0.49019607843137253,63.23529411764706,63.23529411764706,63.72549019607843,63.23529411764706,64.2156862745098,15,6,5,8,6,1,1
ads2_formal_cremad_d03_f4_wavlm_base_plus_A,cremad,3,4,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,56.56565656565657,56.56565656565657,56.56565656565657,56.56565656565657,54.54545454545455,15,9,9,9,9,0,0
ads2_formal_cremad_d03_f4_hubert_base_A,cremad,3,4,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",6.565656565656566,1.0101010101010102,5.555555555555555,59.09090909090909,52.525252525252526,62.121212121212125,61.111111111111114,62.121212121212125,15,8,4,15,14,1,1
