level,model,cell,speaker,coverage,accepted_error,n_r,gap_coverage,gap_accepted_error,coverage_secondary,accepted_error_secondary,gap_accepted_error_secondary
ravdess,ridge_wavlm_base_plus,GG,18,0.8888888888888888,0.49870954671176654,3,0.08911185432924558,0.0688920199800138,0.14444444444444446,nan,nan
ravdess,ridge_wavlm_base_plus,GG,19,0.9,0.4116809116809117,3,0.10022296544035673,-0.008414392828618777,0.3555555555555556,0.2986111111111111,0.06360785698789889
ravdess,ridge_wavlm_base_plus,GG,20,0.8166666666666668,0.5723039215686274,3,0.016666666666666646,0.16674836601307189,0.21666666666666665,0.6079545454545454,0.38498665579636526
ravdess,ridge_wavlm_base_plus,GG,21,0.8777777777777779,0.493021978021978,3,0.07777777777777777,0.07774420024420024,0.15555555555555556,0.337037037037037,0.11084134784324538
ravdess,ridge_wavlm_base_plus,GG,22,0.6722222222222222,0.29844322344322344,3,-0.12755481233742108,-0.10351516800261569,0.11666666666666665,0.1037037037037037,-0.11595014023856527
ravdess,ridge_wavlm_base_plus,GG,23,0.7999999999999999,0.5554609929078015,3,0.00022296544035671495,0.1549844703601492,0.20000000000000004,nan,nan
ravdess,ridge_wavlm_base_plus,GG,24,0.8444444444444444,0.3917145200984413,3,0.04466740988480115,-0.061714117744422446,0.2833333333333333,0.2767113863089095,0.029507713229705274
ravdess,wavlm_ft,GR,01,0.6333333333333333,0.2894736842105263,1,-0.16666666666666674,0.14912280701754388,0.45,0.14814814814814814,0.04398148148148147
ravdess,wavlm_ft,GR,02,0.8333333333333334,0.26,1,0.033333333333333326,0.11964912280701756,0.7666666666666667,0.2391304347826087,0.13496376811594202
ravdess,wavlm_ft,GR,03,0.7166666666666667,0.18604651162790697,1,-0.08333333333333337,0.014993880048959601,0.5666666666666667,0.17647058823529413,0.061820906706631706
ravdess,wavlm_ft,GR,04,0.7333333333333333,0.25,1,-0.06666666666666676,0.14035087719298245,0.55,0.15151515151515152,0.06433566433566434
ravdess,wavlm_ft,GR,05,0.7166666666666667,0.3023255813953488,1,-0.08333333333333337,0.16197470420236637,0.5666666666666667,0.29411764705882354,0.18995098039215685
ravdess,wavlm_ft,GR,06,0.8333333333333334,0.2,1,0.033333333333333326,0.02894736842105264,0.48333333333333334,0.1724137931034483,0.057764111574785865
ravdess,wavlm_ft,GR,07,0.8135593220338984,0.20833333333333334,1,0.013559322033898313,0.006578947368421073,0.7288135593220338,0.20930232558139536,0.07743419371326349
ravdess,wavlm_ft,GR,08,0.7333333333333333,0.11363636363636363,1,-0.06666666666666676,-0.05741626794258374,0.5333333333333333,0.03125,-0.08339968152866242
ravdess,wavlm_ft,GR,09,0.75,0.4444444444444444,1,-0.050000000000000044,0.24269005847953215,0.6666666666666666,0.425,0.2931318681318681
ravdess,wavlm_ft,GR,10,0.6666666666666666,0.275,1,-0.13333333333333341,0.13464912280701757,0.5333333333333333,0.1875,0.08333333333333333
ravdess,wavlm_ft,GR,11,0.75,0.17777777777777778,1,-0.050000000000000044,0.02361111111111111,0.6833333333333333,0.17073170731707318,0.054789678331565936
ravdess,wavlm_ft,GR,12,0.8166666666666667,0.1836734693877551,1,0.016666666666666607,0.07402434658073757,0.6,0.16666666666666666,0.07948717948717948
ravdess,wavlm_ft,GR,13,0.65,0.5641025641025641,1,-0.15000000000000002,0.39304993252361675,0.35,0.42857142857142855,0.3139217470427661
ravdess,wavlm_ft,GR,14,0.7833333333333333,0.1702127659574468,1,-0.01666666666666672,0.06056364315042927,0.7333333333333333,0.13636363636363635,0.04918414918414918
ravdess,wavlm_ft,GR,15,0.7833333333333333,0.2127659574468085,1,-0.01666666666666672,0.011011571481896243,0.55,0.09090909090909091,-0.04095904095904096
ravdess,wavlm_ft,GR,16,0.8333333333333334,0.18,1,0.033333333333333326,0.07035087719298246,0.65,0.07692307692307693,-0.010256410256410248
ravdess,wavlm_ft,GR,17,0.7666666666666667,0.32608695652173914,1,-0.033333333333333326,0.1857360793287567,0.6333333333333333,0.2631578947368421,0.1589912280701754
ravdess,wavlm_ft,GR,18,0.8166666666666667,0.22448979591836735,1,0.016666666666666607,0.07032312925170067,0.6666666666666666,0.175,0.05905797101449274
ravdess,wavlm_ft,GR,19,0.8166666666666667,0.2857142857142857,1,0.016666666666666607,0.08395989974937343,0.65,0.23076923076923078,0.09890109890109891
ravdess,wavlm_ft,GR,20,0.8166666666666667,0.3673469387755102,1,0.016666666666666607,0.25769781596849267,0.6666666666666666,0.35,0.2628205128205128
ravdess,wavlm_ft,GR,21,0.7833333333333333,0.2553191489361702,1,-0.01666666666666672,0.10115248226950352,0.5833333333333334,0.14285714285714285,0.0269151138716356
ravdess,wavlm_ft,GR,22,0.75,0.26666666666666666,1,-0.050000000000000044,0.0649122807017544,0.6166666666666667,0.24324324324324326,0.11137511137511139
ravdess,wavlm_ft,GR,23,0.7666666666666667,0.3695652173913043,1,-0.033333333333333326,0.21539855072463765,0.55,0.36363636363636365,0.24769433465085638
ravdess,wavlm_ft,GR,24,0.7333333333333333,0.3181818181818182,1,-0.06666666666666676,0.1471291866028708,0.55,0.2727272727272727,0.15807759119861028
ravdess,wavlm_ft,GG,01,0.7833333333333333,0.2553191489361702,1,-0.015997770345596463,-0.016647378260482515,0.43333333333333335,0.19230769230769232,0.026840066408411745
ravdess,wavlm_ft,GG,02,0.8833333333333333,0.2641509433962264,1,0.08400222965440352,-0.007815583800426296,0.6666666666666666,0.175,0.009532374100719415
ravdess,wavlm_ft,GG,03,0.7833333333333333,0.3404255319148936,1,-0.01666666666666672,-0.005407801418439717,0.4166666666666667,0.16,-0.034444444444444444
ravdess,wavlm_ft,GG,04,0.7333333333333333,0.22727272727272727,1,-0.06666666666666676,-0.06439393939393942,0.5333333333333333,0.15625,-0.02708333333333332
ravdess,wavlm_ft,GG,05,0.85,0.4117647058823529,1,0.05066889632107019,0.13979817868570021,0.4666666666666667,0.2857142857142857,0.12024665981500512
ravdess,wavlm_ft,GG,06,0.7833333333333333,0.2127659574468085,1,-0.01666666666666672,-0.1330673758865248,0.5166666666666667,0.12903225806451613,-0.06541218637992832
ravdess,wavlm_ft,GG,07,0.8813559322033898,0.4423076923076923,1,0.08135593220338977,0.025641025641025605,0.4406779661016949,0.23076923076923078,-0.0007122507122507005
ravdess,wavlm_ft,GG,08,0.85,0.21568627450980393,1,0.04999999999999993,-0.1301470588235294,0.48333333333333334,0.10344827586206896,-0.09099616858237548
ravdess,wavlm_ft,GG,09,0.85,0.47058823529411764,1,0.04999999999999993,0.053921568627450955,0.43333333333333335,0.4230769230769231,0.1915954415954416
ravdess,wavlm_ft,GG,10,0.7166666666666667,0.2558139534883721,1,-0.08266443701226311,-0.016152573708280604,0.38333333333333336,0.08695652173913043,-0.07851110416015014
ravdess,wavlm_ft,GG,11,0.85,0.35294117647058826,1,0.04999999999999993,0.04877450980392162,0.3333333333333333,0.2,0.03146067415730339
ravdess,wavlm_ft,GG,12,0.9166666666666666,0.3090909090909091,1,0.11666666666666659,0.017424242424242398,0.7333333333333333,0.25,0.06666666666666668
ravdess,wavlm_ft,GG,13,0.7166666666666667,0.5348837209302325,1,-0.08333333333333337,0.18905038759689918,0.31666666666666665,0.2631578947368421,0.06871345029239764
ravdess,wavlm_ft,GG,14,0.8833333333333333,0.20754716981132076,1,0.08333333333333326,-0.08411949685534592,0.8166666666666667,0.22448979591836735,0.041156462585034026
ravdess,wavlm_ft,GG,15,0.8333333333333334,0.38,1,0.033333333333333326,-0.03666666666666668,0.4166666666666667,0.12,-0.11148148148148149
ravdess,wavlm_ft,GG,16,0.8333333333333334,0.08,1,0.033333333333333326,-0.21166666666666667,0.6333333333333333,0.07894736842105263,-0.1043859649122807
ravdess,wavlm_ft,GG,17,0.9333333333333333,0.3392857142857143,1,0.13400222965440356,0.0673191870890616,0.5,0.3333333333333333,0.16786570743405274
ravdess,wavlm_ft,GG,18,0.8833333333333333,0.24528301886792453,1,0.08333333333333326,-0.05888364779874211,0.4,0.0,-0.16853932584269662
ravdess,wavlm_ft,GG,19,0.8333333333333334,0.34,1,0.033333333333333326,-0.07666666666666666,0.4666666666666667,0.10714285714285714,-0.12433862433862435
ravdess,wavlm_ft,GG,20,0.8833333333333333,0.37735849056603776,1,0.08333333333333326,0.08569182389937108,0.7666666666666667,0.41304347826086957,0.22971014492753625
ravdess,wavlm_ft,GG,21,0.8,0.375,1,0.0,0.07083333333333336,0.26666666666666666,0.375,0.20646067415730338
ravdess,wavlm_ft,GG,22,0.7166666666666667,0.27906976744186046,1,-0.08333333333333337,-0.13759689922480622,0.25,0.2,-0.03148148148148147
ravdess,wavlm_ft,GG,23,0.7833333333333333,0.46808510638297873,1,-0.01666666666666672,0.1639184397163121,0.16666666666666666,0.1,-0.06853932584269662
ravdess,wavlm_ft,GG,24,0.8333333333333334,0.38,1,0.033333333333333326,0.03416666666666668,0.5333333333333333,0.3125,0.11805555555555555
subesco_980,cnn,GR,F01,0.7823129251700681,0.4080071974808817,3,-0.018707482993197244,-0.06757666663801427,0.14285714285714288,0.2490842490842491,0.0037214558491154293
subesco_980,cnn,GR,F02,0.8503401360544217,0.39151901070505724,3,0.049319727891156497,-0.06707971540959247,0.4217687074829932,0.286258633007859,0.044822873426938144
subesco_980,cnn,GR,F03,0.8299319727891156,0.6419948376470116,3,0.02891156462585039,0.15579526227546167,0.11564625850340136,0.12820512820512822,-0.12828544371321368
subesco_980,cnn,GR,F04,0.7551020408163266,0.3253119429590018,3,-0.045918367346938736,-0.1906116239199791,0.1360544217687075,0.35185185185185186,0.09629629629629628
subesco_980,cnn,GR,F05,0.7551020408163266,0.5860625331213566,3,-0.045918367346938736,0.1083555267519299,0.18367346938775508,0.17424242424242423,-0.07112036899270942
subesco_980,cnn,GR,F06,0.9387755102040817,0.3985130366258951,3,0.1377551020408164,-0.09405596549724717,0.108843537414966,0.16666666666666666,-0.08872957138452049
subesco_980,cnn,GR,F07,0.7959183673469387,0.5141118562171193,3,-0.005102040816326518,0.030035423096100262,0.14285714285714285,0.273015873015873,0.025889436234263808
subesco_980,cnn,GR,F08,0.7551020408163266,0.5597111817700053,3,-0.045918367346938736,0.09474302890376325,0.1360544217687075,nan,nan
subesco_980,cnn,GR,F09,0.7006802721088435,0.5328042328042327,3,-0.10034013605442171,0.055097226434806044,0.09523809523809523,nan,nan
subesco_980,cnn,GR,F10,0.7210884353741497,0.5849673202614379,3,-0.07993197278911557,0.09239831813829569,0.14285714285714288,0.06944444444444443,-0.18055555555555558
subesco_980,cnn,GR,M01,0.8979591836734694,0.6954399440792315,3,0.09693877551020409,0.22622550671192795,0.3401360544217687,0.6193582246213826,0.3781078562158417
subesco_980,cnn,GR,M02,0.8775510204081632,0.4728682170542636,3,0.07653061224489803,-0.017577642818347894,0.14285714285714285,0.15,-0.09914529914529914
subesco_980,cnn,GR,M03,0.8163265306122449,0.5087719298245613,3,0.015306122448979664,0.06291205721309641,0.06122448979591836,0.4666666666666666,0.23227424749163883
subesco_980,cnn,GR,M04,0.7074829931972788,0.5671377233877234,3,-0.09353741496598637,0.06182986776139643,0.10204081632653061,nan,nan
subesco_980,cnn,GR,M05,0.7687074829931971,0.5409035409035409,3,-0.03231292517006797,0.07168910353623725,0.14285714285714288,nan,nan
subesco_980,cnn,GR,M06,0.8435374149659864,0.5586193745232647,3,0.042517006802721156,0.09789750615808422,0.19047619047619047,0.34401709401709407,0.09680416202155334
subesco_980,cnn,GR,M07,0.836734693877551,0.5328478584292538,3,0.035714285714285775,0.027540002802926827,0.17006802721088432,0.37896825396825395,0.11934181718664476
subesco_980,cnn,GR,M08,0.6326530612244898,0.6353535353535352,3,-0.16836734693877545,0.183124235990478,0.19727891156462585,0.6649572649572649,0.4172008547008547
subesco_980,cnn,GR,M09,0.8163265306122449,0.5171914074353099,3,0.015306122448979628,0.020376120811106086,0.08163265306122448,nan,nan
subesco_980,cnn,GR,M10,0.8299319727891157,0.4603174603174603,3,0.028911564625850355,0.0187038722070569,0.3877551020408163,0.4235294117647059,0.18487142996156278
subesco_980,cnn,GG,F01,0.7823129251700681,0.5060929350403035,3,-0.018707482993197244,-0.04380090784716998,0.0,nan,nan
subesco_980,cnn,GG,F02,0.8571428571428571,0.5165242165242164,3,0.05612244897959188,0.01970892990001268,0.12244897959183675,nan,nan
subesco_980,cnn,GG,F03,0.8163265306122449,0.6750000000000002,3,0.015306122448979664,0.12722929936305738,0.04081632653061224,nan,nan
subesco_980,cnn,GG,F04,0.7551020408163266,0.376813326956799,3,-0.045918367346938695,-0.17520365818120523,0.14965986394557826,nan,nan
subesco_980,cnn,GG,F05,0.7551020408163266,0.5855855855855856,3,-0.04591836734693877,0.04843059620129686,0.09523809523809523,nan,nan
