fold,rotation,draw,policy,encoder,pool_scope,n_evaluation_people,n_candidate_people,n_selected_people,nn1_mean,nn1_max,nn3_mean,selected_global_loso_distance_mean,pool_global_loso_distance_mean,selected_outlier_mean_percentile
0,3,0,C,ecapa,including_selected,61,61,24,0.348678063733601,0.6956945398224741,0.5936137166757728,0.8635739085523874,0.8465078395495738,0.6461748633879781
0,3,0,C,ecapa,excluding_selected,37,61,24,0.5748476185878286,0.6956945398224741,0.65902588837811,0.8635739085523874,0.8465078395495738,0.6461748633879781
0,3,0,R,ecapa,including_selected,61,61,24,0.32730651154784385,0.687646351417767,0.568398595791458,0.8501843177952623,0.8465078395495738,0.5307377049180327
0,3,0,R,ecapa,excluding_selected,37,61,24,0.5396134379572561,0.687646351417767,0.6350825252645981,0.8501843177952623,0.8465078395495738,0.5307377049180327
0,3,0,U,ecapa,including_selected,61,61,24,0.37010925684950147,0.819742430488666,0.5724696290383906,0.8449273165443723,0.8465078395495738,0.47950819672131145
0,3,0,U,ecapa,excluding_selected,37,61,24,0.6101801261572862,0.819742430488666,0.6689365464146922,0.8449273165443723,0.8465078395495738,0.47950819672131145
0,3,1,C,ecapa,including_selected,61,61,24,0.348678063733601,0.6956945398224741,0.5936137166757728,0.8635739085523874,0.8465078395495738,0.6461748633879781
0,3,1,C,ecapa,excluding_selected,37,61,24,0.5748476185878286,0.6956945398224741,0.65902588837811,0.8635739085523874,0.8465078395495738,0.6461748633879781
0,3,1,R,ecapa,including_selected,61,61,24,0.32730651154784385,0.687646351417767,0.568398595791458,0.8501843177952623,0.8465078395495738,0.5307377049180327
0,3,1,R,ecapa,excluding_selected,37,61,24,0.5396134379572561,0.687646351417767,0.6350825252645981,0.8501843177952623,0.8465078395495738,0.5307377049180327
0,3,1,U,ecapa,including_selected,61,61,24,0.35636926745841946,0.7415104935188497,0.584380827898859,0.856414153102602,0.8465078395495738,0.5949453551912569
0,3,1,U,ecapa,excluding_selected,37,61,24,0.587527711215232,0.7415104935188497,0.6630998370047343,0.856414153102602,0.8465078395495738,0.5949453551912569
0,3,2,C,ecapa,including_selected,61,61,24,0.348678063733601,0.6956945398224741,0.5936137166757728,0.8635739085523874,0.8465078395495738,0.6461748633879781
0,3,2,C,ecapa,excluding_selected,37,61,24,0.5748476185878286,0.6956945398224741,0.65902588837811,0.8635739085523874,0.8465078395495738,0.6461748633879781
0,3,2,R,ecapa,including_selected,61,61,24,0.32730651154784385,0.687646351417767,0.568398595791458,0.8501843177952623,0.8465078395495738,0.5307377049180327
0,3,2,R,ecapa,excluding_selected,37,61,24,0.5396134379572561,0.687646351417767,0.6350825252645981,0.8501843177952623,0.8465078395495738,0.5307377049180327
