speaker,mean_uar_pp,nn3_distance,global_loso_mean_distance,n_contexts,references_per_context,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,human_plurality_uar_pp,human_intended_vote_share_pp,human_agreement_pp,unique_query_paths,unique_aligned_paths,query_sets_identical_across_draws,unique_query_prompts,draw_class_counts
1039,45.37037037037036,0.6071544099065445,0.9066051926140233,18.0,8.0,44.44444444444444,45.83333333333333,45.83333333333333,67.3611111111111,52.50936948853616,65.98685265351932,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1040,40.74074074074074,0.5816741171198738,0.8162641255654458,18.0,8.0,44.44444444444444,38.888888888888886,38.888888888888886,34.869528619528616,29.891724787558122,63.728054353054354,71,71,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 11}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 11}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 11}]"
1041,50.0,0.6182660329826324,0.8561917772270944,18.0,8.0,55.55555555555556,55.55555555555556,38.888888888888886,42.36111111111111,39.641704745871415,64.89798781465448,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1042,33.7962962962963,0.6384699866167352,0.901666782436497,18.0,8.0,34.72222222222223,30.555555555555554,36.11111111111111,40.97222222222223,40.233786275452935,64.26266634599968,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1043,54.62962962962964,0.6275910881402363,0.8316884821377903,18.0,8.0,50.0,59.72222222222222,54.16666666666667,46.2962962962963,40.18473424723424,60.816498316498325,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1044,49.074074074074076,0.6120600020382746,0.8399735590704728,18.0,8.0,50.0,48.611111111111114,48.61111111111111,45.833333333333336,39.79933261183261,61.48108064774732,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1045,46.296296296296305,0.6215077971536768,0.8057814604944695,18.0,8.0,41.66666666666667,51.38888888888889,45.83333333333333,22.222222222222218,26.155052509219175,70.58201058201058,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1046,37.96296296296296,0.5723528512070893,0.8327229746273964,18.0,8.0,37.5,37.5,38.888888888888886,25.694444444444446,27.372134038800706,67.55070546737215,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1047,54.629629629629626,0.5520454616252966,0.797402103823338,18.0,8.0,51.388888888888886,58.333333333333336,54.166666666666664,45.833333333333336,43.794843274009935,64.77367925284592,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1048,50.0,0.6870207376119112,0.8387998824869313,18.0,8.0,50.000000000000014,48.61111111111111,51.388888888888886,44.444444444444436,39.67422238255572,69.29177689594356,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
