unit_id,corpus,draw,fold,rule,selected_epoch,seen_uar,unseen_uar,outer_uar,oracle_outer_uar,oracle_shortfall_pp,oracle_used_for_selection
fpc_formal_ravdess_d07_f2_A,ravdess,7,2,last,15,37.5,39.0625,40.625,40.625,0.0,False
fpc_formal_ravdess_d07_f3_A,ravdess,7,3,seen_ce,14,31.25,23.4375,25.0,28.125,3.125,False
fpc_formal_ravdess_d07_f3_A,ravdess,7,3,unseen_ce,13,23.4375,21.875,28.125,28.125,0.0,False
fpc_formal_ravdess_d07_f3_A,ravdess,7,3,seen_uar,14,31.25,23.4375,25.0,28.125,3.125,False
fpc_formal_ravdess_d07_f3_A,ravdess,7,3,unseen_uar,12,23.4375,28.125,25.0,28.125,3.125,False
fpc_formal_ravdess_d07_f3_A,ravdess,7,3,last,15,25.0,21.875,21.875,28.125,6.25,False
fpc_formal_ravdess_d07_f4_A,ravdess,7,4,seen_ce,15,29.6875,23.4375,25.0,25.0,0.0,False
fpc_formal_ravdess_d07_f4_A,ravdess,7,4,unseen_ce,13,31.25,18.75,18.75,25.0,6.25,False
fpc_formal_ravdess_d07_f4_A,ravdess,7,4,seen_uar,13,31.25,18.75,18.75,25.0,6.25,False
fpc_formal_ravdess_d07_f4_A,ravdess,7,4,unseen_uar,12,25.0,28.125,18.75,25.0,6.25,False
fpc_formal_ravdess_d07_f4_A,ravdess,7,4,last,15,29.6875,23.4375,25.0,25.0,0.0,False
fpc_formal_ravdess_d08_f0_A,ravdess,8,0,seen_ce,14,35.9375,32.8125,22.916666666666664,33.33333333333333,10.416666666666664,False
fpc_formal_ravdess_d08_f0_A,ravdess,8,0,unseen_ce,14,35.9375,32.8125,22.916666666666664,33.33333333333333,10.416666666666664,False
fpc_formal_ravdess_d08_f0_A,ravdess,8,0,seen_uar,14,35.9375,32.8125,22.916666666666664,33.33333333333333,10.416666666666664,False
fpc_formal_ravdess_d08_f0_A,ravdess,8,0,unseen_uar,12,34.375,39.0625,22.916666666666664,33.33333333333333,10.416666666666664,False
fpc_formal_ravdess_d08_f0_A,ravdess,8,0,last,15,25.0,35.9375,33.33333333333333,33.33333333333333,0.0,False
fpc_formal_ravdess_d08_f1_A,ravdess,8,1,seen_ce,15,37.5,35.9375,43.75,47.91666666666667,4.166666666666671,False
fpc_formal_ravdess_d08_f1_A,ravdess,8,1,unseen_ce,15,37.5,35.9375,43.75,47.91666666666667,4.166666666666671,False
fpc_formal_ravdess_d08_f1_A,ravdess,8,1,seen_uar,11,42.1875,32.8125,37.5,47.91666666666667,10.416666666666671,False
fpc_formal_ravdess_d08_f1_A,ravdess,8,1,unseen_uar,14,42.1875,40.625,47.91666666666667,47.91666666666667,0.0,False
fpc_formal_ravdess_d08_f1_A,ravdess,8,1,last,15,37.5,35.9375,43.75,47.91666666666667,4.166666666666671,False
fpc_formal_ravdess_d08_f2_A,ravdess,8,2,seen_ce,15,39.0625,26.5625,25.0,28.125,3.125,False
fpc_formal_ravdess_d08_f2_A,ravdess,8,2,unseen_ce,15,39.0625,26.5625,25.0,28.125,3.125,False
fpc_formal_ravdess_d08_f2_A,ravdess,8,2,seen_uar,15,39.0625,26.5625,25.0,28.125,3.125,False
fpc_formal_ravdess_d08_f2_A,ravdess,8,2,unseen_uar,14,29.6875,29.6875,15.625,28.125,12.5,False
fpc_formal_ravdess_d08_f2_A,ravdess,8,2,last,15,39.0625,26.5625,25.0,28.125,3.125,False
fpc_formal_ravdess_d08_f3_A,ravdess,8,3,seen_ce,15,34.375,37.5,37.5,37.5,0.0,False
fpc_formal_ravdess_d08_f3_A,ravdess,8,3,unseen_ce,15,34.375,37.5,37.5,37.5,0.0,False
fpc_formal_ravdess_d08_f3_A,ravdess,8,3,seen_uar,11,34.375,20.3125,28.125,37.5,9.375,False
fpc_formal_ravdess_d08_f3_A,ravdess,8,3,unseen_uar,15,34.375,37.5,37.5,37.5,0.0,False
fpc_formal_ravdess_d08_f3_A,ravdess,8,3,last,15,34.375,37.5,37.5,37.5,0.0,False
fpc_formal_ravdess_d08_f4_A,ravdess,8,4,seen_ce,14,40.625,45.3125,50.0,50.0,0.0,False
fpc_formal_ravdess_d08_f4_A,ravdess,8,4,unseen_ce,15,46.875,50.0,46.875,50.0,3.125,False
fpc_formal_ravdess_d08_f4_A,ravdess,8,4,seen_uar,13,46.875,43.75,43.75,50.0,6.25,False
fpc_formal_ravdess_d08_f4_A,ravdess,8,4,unseen_uar,15,46.875,50.0,46.875,50.0,3.125,False
fpc_formal_ravdess_d08_f4_A,ravdess,8,4,last,15,46.875,50.0,46.875,50.0,3.125,False
fpc_formal_ravdess_d09_f0_A,ravdess,9,0,seen_ce,15,40.625,39.0625,50.0,50.0,0.0,False
fpc_formal_ravdess_d09_f0_A,ravdess,9,0,unseen_ce,14,39.0625,32.8125,45.83333333333333,50.0,4.166666666666671,False
fpc_formal_ravdess_d09_f0_A,ravdess,9,0,seen_uar,15,40.625,39.0625,50.0,50.0,0.0,False
fpc_formal_ravdess_d09_f0_A,ravdess,9,0,unseen_uar,15,40.625,39.0625,50.0,50.0,0.0,False
fpc_formal_ravdess_d09_f0_A,ravdess,9,0,last,15,40.625,39.0625,50.0,50.0,0.0,False
fpc_formal_ravdess_d09_f1_A,ravdess,9,1,seen_ce,15,45.3125,32.8125,43.75,43.75,0.0,False
fpc_formal_ravdess_d09_f1_A,ravdess,9,1,unseen_ce,15,45.3125,32.8125,43.75,43.75,0.0,False
fpc_formal_ravdess_d09_f1_A,ravdess,9,1,seen_uar,15,45.3125,32.8125,43.75,43.75,0.0,False
fpc_formal_ravdess_d09_f1_A,ravdess,9,1,unseen_uar,14,39.0625,34.375,41.66666666666667,43.75,2.0833333333333286,False
fpc_formal_ravdess_d09_f1_A,ravdess,9,1,last,15,45.3125,32.8125,43.75,43.75,0.0,False
fpc_formal_ravdess_d09_f2_A,ravdess,9,2,seen_ce,15,29.6875,39.0625,34.375,37.5,3.125,False
fpc_formal_ravdess_d09_f2_A,ravdess,9,2,unseen_ce,15,29.6875,39.0625,34.375,37.5,3.125,False
