sequence,unit_id,corpus,model,protocol,seed,outer_fold,status
156,ravdess__resnet_se__loso__s0__f023,ravdess,resnet_se,loso,0,23,success
157,ravdess__resnet_se__loso__s1__f000,ravdess,resnet_se,loso,1,0,success
158,ravdess__resnet_se__loso__s1__f001,ravdess,resnet_se,loso,1,1,success
159,ravdess__resnet_se__loso__s1__f002,ravdess,resnet_se,loso,1,2,success
160,ravdess__resnet_se__loso__s1__f003,ravdess,resnet_se,loso,1,3,success
161,ravdess__resnet_se__loso__s1__f004,ravdess,resnet_se,loso,1,4,success
162,ravdess__resnet_se__loso__s1__f005,ravdess,resnet_se,loso,1,5,success
163,ravdess__resnet_se__loso__s1__f006,ravdess,resnet_se,loso,1,6,success
164,ravdess__resnet_se__loso__s1__f007,ravdess,resnet_se,loso,1,7,success
165,ravdess__resnet_se__loso__s1__f008,ravdess,resnet_se,loso,1,8,success
166,ravdess__resnet_se__loso__s1__f009,ravdess,resnet_se,loso,1,9,success
167,ravdess__resnet_se__loso__s1__f010,ravdess,resnet_se,loso,1,10,success
168,ravdess__resnet_se__loso__s1__f011,ravdess,resnet_se,loso,1,11,success
169,ravdess__resnet_se__loso__s1__f012,ravdess,resnet_se,loso,1,12,success
170,ravdess__resnet_se__loso__s1__f013,ravdess,resnet_se,loso,1,13,success
171,ravdess__resnet_se__loso__s1__f014,ravdess,resnet_se,loso,1,14,success
172,ravdess__resnet_se__loso__s1__f015,ravdess,resnet_se,loso,1,15,success
173,ravdess__resnet_se__loso__s1__f016,ravdess,resnet_se,loso,1,16,success
174,ravdess__resnet_se__loso__s1__f017,ravdess,resnet_se,loso,1,17,success
175,ravdess__resnet_se__loso__s1__f018,ravdess,resnet_se,loso,1,18,success
176,ravdess__resnet_se__loso__s1__f019,ravdess,resnet_se,loso,1,19,success
177,ravdess__resnet_se__loso__s1__f020,ravdess,resnet_se,loso,1,20,success
178,ravdess__resnet_se__loso__s1__f021,ravdess,resnet_se,loso,1,21,success
179,ravdess__resnet_se__loso__s1__f022,ravdess,resnet_se,loso,1,22,success
180,ravdess__resnet_se__loso__s1__f023,ravdess,resnet_se,loso,1,23,success
181,ravdess__resnet_se__loso__s2__f000,ravdess,resnet_se,loso,2,0,success
182,ravdess__resnet_se__loso__s2__f001,ravdess,resnet_se,loso,2,1,success
183,ravdess__resnet_se__loso__s2__f002,ravdess,resnet_se,loso,2,2,success
184,ravdess__resnet_se__loso__s2__f003,ravdess,resnet_se,loso,2,3,success
185,ravdess__resnet_se__loso__s2__f004,ravdess,resnet_se,loso,2,4,success
186,ravdess__resnet_se__loso__s2__f005,ravdess,resnet_se,loso,2,5,success
187,ravdess__resnet_se__loso__s2__f006,ravdess,resnet_se,loso,2,6,success
188,ravdess__resnet_se__loso__s2__f007,ravdess,resnet_se,loso,2,7,success
189,ravdess__resnet_se__loso__s2__f008,ravdess,resnet_se,loso,2,8,success
190,ravdess__resnet_se__loso__s2__f009,ravdess,resnet_se,loso,2,9,success
191,ravdess__resnet_se__loso__s2__f010,ravdess,resnet_se,loso,2,10,success
192,ravdess__resnet_se__loso__s2__f011,ravdess,resnet_se,loso,2,11,success
193,ravdess__resnet_se__loso__s2__f012,ravdess,resnet_se,loso,2,12,success
194,ravdess__resnet_se__loso__s2__f013,ravdess,resnet_se,loso,2,13,success
195,ravdess__resnet_se__loso__s2__f014,ravdess,resnet_se,loso,2,14,success
196,ravdess__resnet_se__loso__s2__f015,ravdess,resnet_se,loso,2,15,success
197,ravdess__resnet_se__loso__s2__f016,ravdess,resnet_se,loso,2,16,success
198,ravdess__resnet_se__loso__s2__f017,ravdess,resnet_se,loso,2,17,success
199,ravdess__resnet_se__loso__s2__f018,ravdess,resnet_se,loso,2,18,success
200,ravdess__resnet_se__loso__s2__f019,ravdess,resnet_se,loso,2,19,success
201,ravdess__resnet_se__loso__s2__f020,ravdess,resnet_se,loso,2,20,success
202,ravdess__resnet_se__loso__s2__f021,ravdess,resnet_se,loso,2,21,success
203,ravdess__resnet_se__loso__s2__f022,ravdess,resnet_se,loso,2,22,success
204,ravdess__resnet_se__loso__s2__f023,ravdess,resnet_se,loso,2,23,success
205,ravdess__transformer__random__s0__f000,ravdess,transformer,random,0,0,success
206,ravdess__transformer__random__s0__f001,ravdess,transformer,random,0,1,success
207,ravdess__transformer__random__s0__f002,ravdess,transformer,random,0,2,success
208,ravdess__transformer__random__s0__f003,ravdess,transformer,random,0,3,success
209,ravdess__transformer__random__s0__f004,ravdess,transformer,random,0,4,success
210,ravdess__transformer__random__s1__f000,ravdess,transformer,random,1,0,success
211,ravdess__transformer__random__s1__f001,ravdess,transformer,random,1,1,success
212,ravdess__transformer__random__s1__f002,ravdess,transformer,random,1,2,success
213,ravdess__transformer__random__s1__f003,ravdess,transformer,random,1,3,success
214,ravdess__transformer__random__s1__f004,ravdess,transformer,random,1,4,success
215,ravdess__transformer__random__s2__f000,ravdess,transformer,random,2,0,success
216,ravdess__transformer__random__s2__f001,ravdess,transformer,random,2,1,success
217,ravdess__transformer__random__s2__f002,ravdess,transformer,random,2,2,success
218,ravdess__transformer__random__s2__f003,ravdess,transformer,random,2,3,success
219,ravdess__transformer__random__s2__f004,ravdess,transformer,random,2,4,success
220,ravdess__transformer__groupkfold__s0__f000,ravdess,transformer,groupkfold,0,0,success
221,ravdess__transformer__groupkfold__s0__f001,ravdess,transformer,groupkfold,0,1,success
222,ravdess__transformer__groupkfold__s0__f002,ravdess,transformer,groupkfold,0,2,success
223,ravdess__transformer__groupkfold__s0__f003,ravdess,transformer,groupkfold,0,3,success
224,ravdess__transformer__groupkfold__s0__f004,ravdess,transformer,groupkfold,0,4,success
225,ravdess__transformer__groupkfold__s1__f000,ravdess,transformer,groupkfold,1,0,success
226,ravdess__transformer__groupkfold__s1__f001,ravdess,transformer,groupkfold,1,1,success
227,ravdess__transformer__groupkfold__s1__f002,ravdess,transformer,groupkfold,1,2,success
228,ravdess__transformer__groupkfold__s1__f003,ravdess,transformer,groupkfold,1,3,success
229,ravdess__transformer__groupkfold__s1__f004,ravdess,transformer,groupkfold,1,4,success
230,ravdess__transformer__groupkfold__s2__f000,ravdess,transformer,groupkfold,2,0,success
231,ravdess__transformer__groupkfold__s2__f001,ravdess,transformer,groupkfold,2,1,success
232,ravdess__transformer__groupkfold__s2__f002,ravdess,transformer,groupkfold,2,2,success
233,ravdess__transformer__groupkfold__s2__f003,ravdess,transformer,groupkfold,2,3,success
234,ravdess__transformer__groupkfold__s2__f004,ravdess,transformer,groupkfold,2,4,success
235,ravdess__transformer__loso__s0__f000,ravdess,transformer,loso,0,0,success
236,ravdess__transformer__loso__s0__f001,ravdess,transformer,loso,0,1,success
237,ravdess__transformer__loso__s0__f002,ravdess,transformer,loso,0,2,success
238,ravdess__transformer__loso__s0__f003,ravdess,transformer,loso,0,3,success
239,ravdess__transformer__loso__s0__f004,ravdess,transformer,loso,0,4,success
240,ravdess__transformer__loso__s0__f005,ravdess,transformer,loso,0,5,success
241,ravdess__transformer__loso__s0__f006,ravdess,transformer,loso,0,6,success
242,ravdess__transformer__loso__s0__f007,ravdess,transformer,loso,0,7,success
243,ravdess__transformer__loso__s0__f008,ravdess,transformer,loso,0,8,success
244,ravdess__transformer__loso__s0__f009,ravdess,transformer,loso,0,9,success
245,ravdess__transformer__loso__s0__f010,ravdess,transformer,loso,0,10,success
246,ravdess__transformer__loso__s0__f011,ravdess,transformer,loso,0,11,success
247,ravdess__transformer__loso__s0__f012,ravdess,transformer,loso,0,12,success
248,ravdess__transformer__loso__s0__f013,ravdess,transformer,loso,0,13,success
249,ravdess__transformer__loso__s0__f014,ravdess,transformer,loso,0,14,success
250,ravdess__transformer__loso__s0__f015,ravdess,transformer,loso,0,15,success
