method,fold,rotation,draw,policy,n_test_people_expected,n_test_people_used,nn1_mean,nn1_max,nn3_mean
actual_test_query_neutral_available,1,5,1,C,19,19,0.6737215354544014,0.8009358306581996,0.7321000959904493
matched_eight_train_prompts_complete,1,5,1,R,19,19,0.6005793638922938,0.7860022094661283,0.6524478656037012
actual_test_query_neutral_available,1,5,1,R,19,19,0.6853472855953601,0.83104586955501,0.733340572260712
matched_eight_train_prompts_complete,1,5,1,U,19,19,0.571944691005451,0.7450778597351719,0.6307687360159371
actual_test_query_neutral_available,1,5,1,U,19,19,0.6452243029330512,0.7887310717230642,0.7078108651279473
matched_eight_train_prompts_complete,1,5,2,C,19,19,0.5872015732561655,0.7320216278479907,0.6580310942079632
actual_test_query_neutral_available,1,5,2,C,19,19,0.6737215354544014,0.8009358306581996,0.7321000959904493
matched_eight_train_prompts_complete,1,5,2,R,19,19,0.6005793638922938,0.7860022094661283,0.6524478656037012
actual_test_query_neutral_available,1,5,2,R,19,19,0.6853472855953601,0.83104586955501,0.733340572260712
matched_eight_train_prompts_complete,1,5,2,U,19,19,0.5787656234831994,0.7320216278479907,0.6331357215302262
actual_test_query_neutral_available,1,5,2,U,19,19,0.6558215771481812,0.7523675272024073,0.7114559968663116
matched_eight_train_prompts_complete,2,0,0,C,19,18,0.6236163752221011,0.7534468347200691,0.6900189243046915
actual_test_query_neutral_available,2,0,0,C,19,19,0.6713895878842386,0.8077270838557461,0.733656456448928
matched_eight_train_prompts_complete,2,0,0,R,19,18,0.6178261417474119,0.72036723193188,0.6665798300399468
actual_test_query_neutral_available,2,0,0,R,19,19,0.6791085095012389,0.8077270838557461,0.7192120530699627
matched_eight_train_prompts_complete,2,0,0,U,19,18,0.618818365897169,0.7504321265872149,0.6712469290743847
actual_test_query_neutral_available,2,0,0,U,19,19,0.6730630399912036,0.8165245178507994,0.717694789820491
matched_eight_train_prompts_complete,2,0,1,C,19,18,0.6236163752221011,0.7534468347200691,0.6900189243046915
