level,model,cell,gap_accepted_error,gap_coverage,n_test,n_test_accepted,n_test_accepted_errors,n_val,n_val_accepted,n_val_accepted_errors,r,rule,test_accepted_error,test_coverage,test_review_deviation,val_accepted_error,val_coverage
ravdess,ridge_hubert_base,GG,0.009632863889959042,0.013331650910966775,1439,1170,524,1498,1198,525,1,primary,0.4478632478632479,0.8130646282140376,-0.013064628214037588,0.43823038397328884,0.7997329773030708
ravdess,ridge_hubert_base,GG,0.07758464602571066,0.02874112437152712,1439,294,91,1498,263,61,1,secondary,0.30952380952380953,0.20430854760250175,0.5956914523974983,0.23193916349809887,0.17556742323097463
ravdess,ridge_hubert_base,GG,-0.004517361327879776,0.02640166411612832,1439,1189,545,1499,1199,555,2,primary,0.45836837678721615,0.8262682418346073,-0.026268241834607353,0.4628857381150959,0.799866577718479
ravdess,ridge_hubert_base,GG,0.06184513161257349,0.03408480335048475,1439,338,104,1499,301,74,2,secondary,0.3076923076923077,0.23488533703961084,0.5651146629603891,0.24584717607973422,0.2008005336891261
ravdess,ridge_wav2vec2_base,GR,0.17552204422164103,-0.0029186935371786626,1439,1147,505,1440,1152,305,0,primary,0.44027898866608545,0.7970813064628214,0.002918693537178607,0.2647569444444444,0.8
ravdess,ridge_wav2vec2_base,GR,0.1901825557809331,-0.019108080457107546,1439,697,246,1440,725,118,0,secondary,0.35294117647058826,0.48436414176511466,0.3156358582348853,0.16275862068965516,0.5034722222222222
ravdess,ridge_wav2vec2_base,GR,0.14286912956453818,-0.009173036831132797,1439,1138,454,1440,1152,295,1,primary,0.3989455184534271,0.7908269631688672,0.009173036831132741,0.2560763888888889,0.8
ravdess,ridge_wav2vec2_base,GR,0.16229676755992545,-0.03022546521504127,1439,684,220,1440,728,116,1,secondary,0.3216374269005848,0.47533009034051427,0.3246699096594858,0.15934065934065933,0.5055555555555555
ravdess,ridge_wav2vec2_base,GR,0.17447916666666669,0.0005559416261292638,1439,1152,507,1440,1152,306,2,primary,0.4401041666666667,0.8005559416261293,-0.0005559416261293193,0.265625,0.8
ravdess,ridge_wav2vec2_base,GR,0.1942496703823565,-0.020535093815149397,1439,618,224,1440,648,109,2,secondary,0.36245954692556637,0.4294649061848506,0.37053509381514943,0.16820987654320987,0.45
ravdess,ridge_wav2vec2_base,GG,0.006895884979120415,0.0034690720382964946,1439,1156,518,1499,1199,529,0,primary,0.44809688581314877,0.8033356497567755,-0.0033356497567755272,0.44120100083402836,0.799866577718479
ravdess,ridge_wav2vec2_base,GG,0.03580746870888793,-0.0033564187568177473,1439,359,100,1499,379,92,0,secondary,0.2785515320334262,0.24947880472550382,0.5505211952744962,0.24274406332453827,0.25283522348232157
ravdess,ridge_wav2vec2_base,GG,-0.030508027801316173,-0.020719773689450216,1439,1121,487,1498,1198,557,1,primary,0.4344335414808207,0.7790132036136206,0.020986796386379403,0.46494156928213687,0.7997329773030708
ravdess,ridge_wav2vec2_base,GG,0.034716933231784736,0.014547541266511477,1439,312,86,1498,303,73,1,secondary,0.27564102564102566,0.21681723419041002,0.58318276580959,0.24092409240924093,0.20226969292389854
ravdess,ridge_wav2vec2_base,GG,-0.01873528344677755,0.0020792179729733906,1439,1154,501,1499,1199,543,2,primary,0.4341421143847487,0.8019457956914524,-0.0019457956914524233,0.45287739783152625,0.799866577718479
ravdess,ridge_wav2vec2_base,GG,0.014142144733335832,0.02204712801353323,1439,241,62,1499,218,53,2,secondary,0.2572614107883817,0.1674774148714385,0.6325225851285614,0.24311926605504589,0.14543028685790527
ravdess,ridge_wavlm_base_plus,GR,0.14067109144542772,-0.014732453092425324,1439,1130,465,1440,1152,312,0,primary,0.41150442477876104,0.7852675469075747,0.014732453092425268,0.2708333333333333,0.8
ravdess,ridge_wavlm_base_plus,GR,0.19116579558652727,0.011435410393019874,1439,672,235,1440,656,104,0,secondary,0.34970238095238093,0.4669909659485754,0.3330090340514246,0.15853658536585366,0.45555555555555555
ravdess,ridge_wavlm_base_plus,GR,0.1311940913370998,-0.020986796386379458,1439,1121,475,1440,1152,337,1,primary,0.423728813559322,0.7790132036136206,0.020986796386379403,0.2925347222222222,0.8
ravdess,ridge_wavlm_base_plus,GR,0.15384860675039247,0.0023921897922940527,1439,640,213,1440,637,114,1,secondary,0.3328125,0.44475330090340515,0.35524669909659484,0.17896389324960754,0.4423611111111111
ravdess,ridge_wavlm_base_plus,GR,0.17128843614412376,0.01862404447533006,1439,1178,529,1440,1152,320,2,primary,0.44906621392190155,0.8186240444753301,-0.018624044475330115,0.2777777777777778,0.8
ravdess,ridge_wavlm_base_plus,GR,0.19821557752592234,-0.006599393869199277,1439,715,265,1440,725,125,2,secondary,0.3706293706293706,0.49687282835302293,0.30312717164697706,0.1724137931034483,0.5034722222222222
ravdess,ridge_wavlm_base_plus,GG,-0.0011664883232431755,0.005553853136281206,1439,1159,510,1499,1199,529,0,primary,0.4400345125107852,0.8054204308547602,-0.005420430854760239,0.44120100083402836,0.799866577718479
ravdess,ridge_wavlm_base_plus,GG,0.06209150326797383,0.008511581267289153,1439,306,92,1499,306,73,0,secondary,0.3006535947712418,0.2126476719944406,0.5873523280055595,0.238562091503268,0.20413609072715144
ravdess,ridge_wavlm_base_plus,GG,0.011005184078727748,-0.00751616006888034,1439,1140,495,1498,1198,507,1,primary,0.4342105263157895,0.7922168172341905,0.0077831827658095265,0.42320534223706174,0.7997329773030708
ravdess,ridge_wavlm_base_plus,GG,0.08637571605740271,0.0025148193885569936,1439,287,89,1498,295,66,1,secondary,0.31010452961672474,0.19944405837387075,0.6005559416261292,0.22372881355932203,0.19692923898531375
ravdess,ridge_wavlm_base_plus,GG,0.03090627206760571,-0.0020903442229960323,1439,1148,519,1499,1199,505,2,primary,0.4520905923344948,0.797776233495483,0.0022237665045169996,0.42118432026688907,0.799866577718479
ravdess,ridge_wavlm_base_plus,GG,0.0969084166954122,0.01620955550167566,1439,223,72,1499,208,47,2,secondary,0.32286995515695066,0.15496872828353023,0.6450312717164697,0.22596153846153846,0.13875917278185457
ravdess,wavlm_ft,GR,0.10988697077889195,-0.03766504517025715,1439,1097,291,1440,1152,179,0,primary,0.2652689152233364,0.7623349548297429,0.037665045170257094,0.15538194444444445,0.8
ravdess,wavlm_ft,GR,0.10264184656003453,-0.050974345610377614,1439,859,183,1440,933,103,0,secondary,0.21303841676367868,0.5969423210562891,0.2030576789437109,0.11039657020364416,0.6479166666666667
ravdess,wavlm_ft,GG,-0.002872764340654199,0.025706737083466824,1439,1188,384,1499,1199,391,0,primary,0.32323232323232326,0.8255733148019458,-0.025573314801945857,0.32610508757297746,0.799866577718479
ravdess,wavlm_ft,GG,0.023643695014662763,0.057662717929627405,1439,682,144,1499,624,117,0,secondary,0.21114369501466276,0.4739402362751911,0.3260597637248089,0.1875,0.4162775183455637
subesco_980,cnn,GR,0.0481689955397554,-0.01122448979591828,980,774,409,980,785,377,0,primary,0.5284237726098191,0.789795918367347,0.010204081632653017,0.4802547770700637,0.8010204081632653
subesco_980,cnn,GR,0.16783824182927326,-0.0010204081632653184,980,222,95,980,223,58,0,secondary,0.42792792792792794,0.22653061224489796,0.573469387755102,0.2600896860986547,0.22755102040816327
subesco_980,cnn,GR,0.048554441880000354,-0.004081632653061162,980,781,413,980,785,377,1,primary,0.528809218950064,0.7969387755102041,0.0030612244897958996,0.4802547770700637,0.8010204081632653
subesco_980,cnn,GR,0.11612903225806454,0.0,980,155,55,980,155,37,1,secondary,0.3548387096774194,0.15816326530612246,0.6418367346938776,0.23870967741935484,0.15816326530612246
subesco_980,cnn,GR,0.031216690497855137,-0.0010204081632652073,980,784,396,980,785,372,2,primary,0.5051020408163265,0.8,-5.551115123125783e-17,0.47388535031847134,0.8010204081632653
subesco_980,cnn,GR,0.09333333333333332,0.004081632653061218,980,129,43,980,125,30,2,secondary,0.3333333333333333,0.13163265306122449,0.6683673469387754,0.24,0.12755102040816327
subesco_980,cnn,GG,0.020514828696784893,0.01224489795918371,980,797,458,980,785,435,0,primary,0.5746549560853199,0.813265306122449,-0.013265306122448972,0.554140127388535,0.8010204081632653
subesco_980,cnn,GG,0.11821589205397298,0.0010204081632653045,980,116,47,980,115,33,0,secondary,0.4051724137931034,0.11836734693877551,0.6816326530612244,0.28695652173913044,0.11734693877551021
subesco_980,cnn,GG,0.017169410727877255,0.010204081632653073,980,795,439,980,785,420,1,primary,0.5522012578616352,0.8112244897959183,-0.011224489795918335,0.535031847133758,0.8010204081632653
subesco_980,cnn,GG,0.16260028120089326,0.006122448979591827,980,113,49,980,107,29,1,secondary,0.4336283185840708,0.11530612244897959,0.6846938775510205,0.27102803738317754,0.10918367346938776
subesco_980,cnn,GG,0.08516420927658075,0.009183673469387754,980,794,454,980,785,382,2,primary,0.5717884130982368,0.810204081632653,-0.010204081632653017,0.48662420382165605,0.8010204081632653
subesco_980,cnn,GG,0.2293715846994535,-0.002040816326530609,980,120,59,980,122,32,2,secondary,0.49166666666666664,0.12244897959183673,0.6775510204081632,0.26229508196721313,0.12448979591836734
subesco_980,ridge_hubert_base,GR,0.05199484193661841,0.030612244897959218,980,815,494,980,785,435,0,primary,0.6061349693251534,0.8316326530612245,-0.03163265306122448,0.554140127388535,0.8010204081632653
subesco_980,ridge_hubert_base,GR,0.05333333333333329,0.004081632653061225,980,54,18,980,50,14,0,secondary,0.3333333333333333,0.05510204081632653,0.7448979591836735,0.28,0.05102040816326531
subesco_980,ridge_hubert_base,GR,0.04882691705287512,0.008163265306122547,980,793,463,980,785,420,1,primary,0.5838587641866331,0.8091836734693878,-0.00918367346938781,0.535031847133758,0.8010204081632653
subesco_980,ridge_hubert_base,GR,0.14442929489676665,0.015306122448979581,980,151,64,980,136,38,1,secondary,0.423841059602649,0.1540816326530612,0.6459183673469389,0.27941176470588236,0.13877551020408163
subesco_980,ridge_hubert_base,GR,0.014286866080786886,0.005102040816326592,980,790,440,980,785,426,2,primary,0.5569620253164557,0.8061224489795918,-0.006122448979591855,0.5426751592356688,0.8010204081632653
subesco_980,ridge_hubert_base,GR,0.16779422128259341,0.019387755102040813,980,129,58,980,110,31,2,secondary,0.4496124031007752,0.13163265306122449,0.6683673469387754,0.2818181818181818,0.11224489795918367
subesco_980,ridge_hubert_base,GG,0.004954175071874456,0.0173469387755103,980,802,477,980,785,463,0,primary,0.5947630922693267,0.8183673469387756,-0.018367346938775564,0.5898089171974522,0.8010204081632653
subesco_980,ridge_hubert_base,GG,0.07500000000000001,0.006122448979591834,980,56,21,980,50,15,0,secondary,0.375,0.05714285714285714,0.7428571428571429,0.3,0.05102040816326531
subesco_980,ridge_hubert_base,GG,-0.059071695190382356,-0.012244897959183598,980,773,427,980,785,480,1,primary,0.5523932729624839,0.7887755102040817,0.011224489795918335,0.6114649681528662,0.8010204081632653
subesco_980,ridge_hubert_base,GG,0.059113300492610876,0.002040816326530616,980,58,20,980,56,16,1,secondary,0.3448275862068966,0.05918367346938776,0.7408163265306122,0.2857142857142857,0.05714285714285714
subesco_980,ridge_hubert_base,GG,-0.01585532302092807,-0.0010204081632652073,980,784,434,980,785,447,2,primary,0.5535714285714286,0.8,-5.551115123125783e-17,0.5694267515923567,0.8010204081632653
subesco_980,ridge_hubert_base,GG,0.10612030470186495,-0.013265306122448972,980,81,31,980,94,26,2,secondary,0.38271604938271603,0.0826530612244898,0.7173469387755103,0.2765957446808511,0.09591836734693877
subesco_980,ridge_wav2vec2_base,GR,0.09944820133283117,-0.0071428571428571175,980,778,452,980,785,378,0,primary,0.5809768637532133,0.7938775510204081,0.006122448979591855,0.48152866242038217,0.8010204081632653
subesco_980,ridge_wav2vec2_base,GR,0.18756984659148634,0.011224489795918363,980,204,89,980,193,48,0,secondary,0.4362745098039216,0.20816326530612245,0.5918367346938775,0.24870466321243523,0.19693877551020408
subesco_980,ridge_wav2vec2_base,GR,0.07936845375828883,-0.006122448979591799,980,779,429,980,785,370,1,primary,0.5507060333761232,0.7948979591836735,0.005102040816326536,0.4713375796178344,0.8010204081632653
subesco_980,ridge_wav2vec2_base,GR,0.20652173913043476,0.012244897959183682,980,184,84,980,172,43,1,secondary,0.45652173913043476,0.18775510204081633,0.6122448979591837,0.25,0.17551020408163265
subesco_980,ridge_wav2vec2_base,GR,0.04765989333801013,0.014285714285714346,980,799,433,980,785,388,2,primary,0.541927409261577,0.8153061224489796,-0.015306122448979609,0.4942675159235669,0.8010204081632653
subesco_980,ridge_wav2vec2_base,GR,0.09277389277389275,0.022448979591836726,980,165,58,980,143,37,2,secondary,0.3515151515151515,0.1683673469387755,0.6316326530612244,0.25874125874125875,0.14591836734693878
subesco_980,ridge_wav2vec2_base,GG,0.0029567719615894994,0.003061224489795955,980,788,441,980,785,437,0,primary,0.5596446700507615,0.8040816326530612,-0.004081632653061218,0.556687898089172,0.8010204081632653
