module,original_scale,N,comparison,condition,endpoint,estimate,estimator,id,level,model,n,primary,reference_condition,reference_estimator,ci95_low,ci95_high,interpretation,target_class,threshold_points,available,ci95,reason,b,n_reps,n_undefined_bootstrap,quantity,n_dropped,n_population,rule,interval,n_repeats
A,UAR percentage points; harm endpoints are proportions,5,single:sad@5[prior_corrected]-[naive],single:sad@5,5,24.84859584859585,prior_corrected,ep5:cremad:hubert_base:single:sad@5[prior_corrected]-[naive],cremad,hubert_base,91,False,single:sad@5,naive,23.031120268620274,26.629426129426125,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_balanced@3[naive]-balanced@3[naive],other_balanced@3,6,-1.8009768009768015,naive,ep6:cremad:hubert_base:other_balanced@3[naive]-balanced@3[naive],cremad,hubert_base,91,True,balanced@3,naive,-2.50915750915751,-1.1043803418803424,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e(other_single:e@3)[naive]-mean_e(single:e@3)[naive],other_single:*@3,6,-1.3260073260073262,naive,ep6:cremad:hubert_base:mean_e(other_single:e@3)[naive]-mean_e(single:e@3)[naive],cremad,hubert_base,91,True,single:*@3,naive,-1.6288156288156292,-1.013118131868132,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_single:angry@3[naive]-single:angry@3[naive],other_single:angry@3,6,-0.17277167277167257,naive,ep6:cremad:hubert_base:other_single:angry@3[naive]-single:angry@3[naive],cremad,hubert_base,91,False,single:angry@3,naive,-0.8705891330891329,0.5415293040293042,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_single:disgust@3[naive]-single:disgust@3[naive],other_single:disgust@3,6,-1.9023199023199033,naive,ep6:cremad:hubert_base:other_single:disgust@3[naive]-single:disgust@3[naive],cremad,hubert_base,91,False,single:disgust@3,naive,-2.6660866910866923,-1.1721153846153862,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_single:fearful@3[naive]-single:fearful@3[naive],other_single:fearful@3,6,-1.7905982905982913,naive,ep6:cremad:hubert_base:other_single:fearful@3[naive]-single:fearful@3[naive],cremad,hubert_base,91,False,single:fearful@3,naive,-2.6166056166056166,-0.976175213675214,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_single:happy@3[naive]-single:happy@3[naive],other_single:happy@3,6,-1.215506715506716,naive,ep6:cremad:hubert_base:other_single:happy@3[naive]-single:happy@3[naive],cremad,hubert_base,91,False,single:happy@3,naive,-2.001236263736264,-0.42976190476190523,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_single:neutral@3[naive]-single:neutral@3[naive],other_single:neutral@3,6,-1.509157509157509,naive,ep6:cremad:hubert_base:other_single:neutral@3[naive]-single:neutral@3[naive],cremad,hubert_base,91,False,single:neutral@3,naive,-2.2918192918192912,-0.7045024420024423,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,other_single:sad@3[naive]-single:sad@3[naive],other_single:sad@3,6,-1.365689865689866,naive,ep6:cremad:hubert_base:other_single:sad@3[naive]-single:sad@3[naive],cremad,hubert_base,91,False,single:sad@3,naive,-2.1733821733821737,-0.5836385836385836,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_balanced@5[naive]-balanced@5[naive],other_balanced@5,6,-4.397435897435899,naive,ep6:cremad:hubert_base:other_balanced@5[naive]-balanced@5[naive],cremad,hubert_base,91,False,balanced@5,naive,-5.29732905982906,-3.497557997557998,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(other_single:e@5)[naive]-mean_e(single:e@5)[naive],other_single:*@5,6,-3.2851037851037854,naive,ep6:cremad:hubert_base:mean_e(other_single:e@5)[naive]-mean_e(single:e@5)[naive],cremad,hubert_base,91,False,single:*@5,naive,-3.8797339234839248,-2.701549145299146,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_single:angry@5[naive]-single:angry@5[naive],other_single:angry@5,6,-1.3858363858363858,naive,ep6:cremad:hubert_base:other_single:angry@5[naive]-single:angry@5[naive],cremad,hubert_base,91,False,single:angry@5,naive,-2.624557387057386,-0.13490537240537326,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_single:disgust@5[naive]-single:disgust@5[naive],other_single:disgust@5,6,-3.4853479853479854,naive,ep6:cremad:hubert_base:other_single:disgust@5[naive]-single:disgust@5[naive],cremad,hubert_base,91,False,single:disgust@5,naive,-4.677045177045176,-2.31376678876679,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_single:fearful@5[naive]-single:fearful@5[naive],other_single:fearful@5,6,-4.26007326007326,naive,ep6:cremad:hubert_base:other_single:fearful@5[naive]-single:fearful@5[naive],cremad,hubert_base,91,False,single:fearful@5,naive,-5.641040903540903,-2.873015873015873,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_single:happy@5[naive]-single:happy@5[naive],other_single:happy@5,6,-3.1575091575091587,naive,ep6:cremad:hubert_base:other_single:happy@5[naive]-single:happy@5[naive],cremad,hubert_base,91,False,single:happy@5,naive,-4.305906593406595,-2.023809523809525,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_single:neutral@5[naive]-single:neutral@5[naive],other_single:neutral@5,6,-3.9725274725274726,naive,ep6:cremad:hubert_base:other_single:neutral@5[naive]-single:neutral@5[naive],cremad,hubert_base,91,False,single:neutral@5,naive,-5.313186813186813,-2.6128968253968257,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,other_single:sad@5[naive]-single:sad@5[naive],other_single:sad@5,6,-3.449328449328449,naive,ep6:cremad:hubert_base:other_single:sad@5[naive]-single:sad@5[naive],cremad,hubert_base,91,False,single:sad@5,naive,-4.721642246642245,-2.144047619047619,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,harm_share(mean_e single:e@3[naive] vs none),single:*@3,7,1.0,naive,ep7:cremad:hubert_base:harm_share(mean_e single:e@3[naive] vs none),cremad,hubert_base,91,True,none,none,1.0,1.0,,,2.0,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,harm_share(single:angry@3[naive] vs none),single:angry@3,7,1.0,naive,ep7:cremad:hubert_base:harm_share(single:angry@3[naive] vs none),cremad,hubert_base,91,False,none,none,1.0,1.0,,angry,2.0,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,harm_share(single:disgust@3[naive] vs none),single:disgust@3,7,1.0,naive,ep7:cremad:hubert_base:harm_share(single:disgust@3[naive] vs none),cremad,hubert_base,91,False,none,none,1.0,1.0,,disgust,2.0,,,,,,,,,,,,
