model,B,S,scenario,speaker,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,mean_uar_pp
ridge_wavlm,288,48,prompt_seen,1012,36.111111111111114,41.66666666666667,51.38888888888889,43.055555555555564
ridge_wavlm,288,48,prompt_seen,1013,42.55050505050505,47.0959595959596,53.28282828282829,47.643097643097654
ridge_wavlm,288,48,prompt_seen,1014,47.222222222222214,48.611111111111114,54.166666666666664,50.0
ridge_wavlm,288,48,prompt_seen,1015,34.72222222222223,34.722222222222214,36.11111111111111,35.18518518518518
ridge_wavlm,288,48,prompt_seen,1016,37.5,37.50000000000001,34.722222222222214,36.57407407407407
ridge_wavlm,288,48,prompt_seen,1017,30.934343434343432,32.44949494949495,32.57575757575758,31.986531986531986
ridge_wavlm,288,48,prompt_seen,1018,55.55555555555556,54.16666666666667,55.55555555555557,55.0925925925926
ridge_wavlm,288,48,prompt_seen,1019,50.0,43.93939393939394,53.03030303030304,48.98989898989899
ridge_wavlm,288,48,prompt_seen,1020,45.83333333333333,43.05555555555556,45.83333333333333,44.90740740740741
ridge_wavlm,288,48,prompt_seen,1021,44.44444444444444,31.944444444444446,30.555555555555557,35.648148148148145
ridge_wavlm,288,48,prompt_seen,1022,47.22222222222223,54.166666666666664,51.38888888888889,50.925925925925924
ridge_wavlm,288,48,prompt_seen,1023,45.83333333333333,48.611111111111114,50.0,48.14814814814815
ridge_wavlm,288,48,prompt_seen,1024,49.99999999999999,43.05555555555555,44.44444444444444,45.833333333333336
ridge_wavlm,288,48,prompt_seen,1025,45.83333333333333,48.611111111111114,47.22222222222223,47.22222222222223
ridge_wavlm,288,48,prompt_seen,1026,38.88888888888889,43.05555555555555,54.166666666666664,45.370370370370374
ridge_wavlm,288,48,prompt_seen,1027,49.99999999999999,38.88888888888889,43.05555555555556,43.98148148148149
ridge_wavlm,288,48,prompt_seen,1028,44.44444444444444,43.05555555555556,59.72222222222222,49.074074074074076
ridge_wavlm,288,48,prompt_seen,1029,48.611111111111114,40.27777777777777,51.388888888888886,46.75925925925926
ridge_wavlm,288,48,prompt_seen,1030,50.0,44.44444444444444,45.83333333333333,46.75925925925926
ridge_wavlm,288,48,prompt_seen,1031,37.5,45.83333333333333,47.22222222222223,43.51851851851851
ridge_wavlm,288,48,prompt_seen,1032,30.555555555555557,40.277777777777786,36.11111111111111,35.64814814814815
ridge_wavlm,288,48,prompt_seen,1033,40.27777777777777,38.888888888888886,45.83333333333333,41.666666666666664
ridge_wavlm,288,48,prompt_seen,1034,40.277777777777786,33.33333333333333,34.72222222222223,36.111111111111114
ridge_wavlm,288,48,prompt_seen,1035,48.611111111111114,52.77777777777778,56.94444444444445,52.77777777777778
ridge_wavlm,288,48,prompt_seen,1036,34.722222222222214,34.72222222222223,29.166666666666668,32.870370370370374
ridge_wavlm,288,48,prompt_seen,1037,54.166666666666664,55.55555555555556,70.83333333333334,60.18518518518519
ridge_wavlm,288,48,prompt_seen,1038,54.166666666666664,56.94444444444444,58.333333333333336,56.48148148148149
ridge_wavlm,288,48,prompt_seen,1039,52.77777777777778,37.5,43.05555555555556,44.444444444444436
ridge_wavlm,288,48,prompt_seen,1040,51.010101010101,56.565656565656575,49.74747474747475,52.44107744107745
ridge_wavlm,288,48,prompt_seen,1041,50.0,44.44444444444444,43.05555555555556,45.833333333333336
ridge_wavlm,288,48,prompt_seen,1042,44.44444444444445,37.5,33.33333333333333,38.42592592592593
ridge_wavlm,288,48,prompt_seen,1043,48.611111111111114,43.05555555555556,52.77777777777778,48.14814814814815
ridge_wavlm,288,48,prompt_seen,1044,43.05555555555556,51.388888888888886,41.66666666666667,45.370370370370374
ridge_wavlm,288,48,prompt_seen,1045,41.66666666666667,43.05555555555556,37.5,40.74074074074074
ridge_wavlm,288,48,prompt_seen,1046,44.44444444444445,34.722222222222214,38.88888888888889,39.35185185185185
ridge_wavlm,288,48,prompt_seen,1047,52.77777777777778,58.333333333333336,62.500000000000014,57.87037037037038
ridge_wavlm,288,48,prompt_seen,1048,52.77777777777778,48.61111111111111,50.0,50.46296296296296
ridge_wavlm,288,48,prompt_seen,1049,54.166666666666664,43.05555555555556,50.000000000000014,49.074074074074076
ridge_wavlm,288,48,prompt_seen,1050,45.83333333333333,36.11111111111111,47.222222222222214,43.05555555555554
ridge_wavlm,288,48,prompt_seen,1051,43.05555555555556,41.66666666666667,45.83333333333334,43.518518518518526
ridge_wavlm,288,48,prompt_seen,1052,54.166666666666664,47.22222222222223,50.0,50.46296296296296
ridge_wavlm,288,48,prompt_seen,1053,51.38888888888889,54.166666666666664,49.99999999999999,51.85185185185185
ridge_wavlm,288,48,prompt_seen,1054,44.44444444444444,50.0,56.94444444444444,50.46296296296296
ridge_wavlm,288,48,prompt_seen,1055,50.000000000000014,38.888888888888886,43.05555555555556,43.98148148148149
