level,model,replicate,variant,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,b,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,accepted_support_6,accepted_support_7
cremad,transformer,r0s0,within_fold,6,0.48789961159247086,51.13457026322269,1223,1112,1103,1107,985,1164,51.13457026322269,0.09966375252185608,0.1,0.9003362474781439,0.13345715043778192,741,7435,0.5069266980497646,49.65599861842172,0.48971684053651265,0.902488231338265,0.12815070310427168,0.7804878048780488,0.8536585365853658,0.4876951271231952,0,0,0,0.3512207365017516,,
cremad,transformer,r0s0,within_fold,6,0.4682352941176471,52.785968024275896,1131,980,945,975,862,1057,52.785968024275896,0.19973100201748487,0.2,0.8002689979825152,0.2608118864420271,1485,7435,0.5069266980497646,49.65599861842172,0.4702440655299231,0.8045729657027573,0.2536481825417883,0.6097560975609756,0.7195121951219512,0.46774070352871133,0,5,0,0.39733589962288934,,
cremad,transformer,r0s0,within_fold,6,0.4507393892836566,54.08831585792876,1023,847,802,821,761,953,54.08831585792876,0.29966375252185606,0.3,0.7003362474781439,0.3772884054125763,2228,7435,0.5069266980497646,49.65599861842172,0.4508274681377211,0.7070611970410222,0.37118599097903954,0.5,0.6097560975609756,0.4502607674533125,0,42,0,0.4363026996828695,,
cremad,transformer,r1s1,global_oof,6,0.4931261207411835,50.72382681559638,1202,1114,1116,1133,948,1179,50.72382681559638,0.09993275050437121,0.1,0.9000672494956288,0.13680355741564218,743,7435,0.5141896435776732,48.88092239387622,0.49284649776453054,0.902488231338265,0.13497253465864503,0.7195121951219512,0.8170731707317073,0.4920489652434846,0,0,0,0.34091009526224214,,
cremad,transformer,r1s1,global_oof,6,0.47595830531271016,52.0516157436573,1125,972,980,958,835,1078,52.0516157436573,0.2,0.2,0.8,0.2594820821344494,1487,7435,0.5141896435776732,48.88092239387622,0.47425610163824805,0.8045729657027573,0.2579126340570233,0.573170731707317,0.6585365853658537,0.4715685857614595,0,18,0,0.38279767039538853,,
cremad,transformer,r1s1,global_oof,6,0.45513928914505286,53.44370551421916,1052,850,816,781,735,971,53.44370551421916,0.29993275050437124,0.3,0.7000672494956288,0.3803295840962595,2230,7435,0.5141896435776732,48.88092239387622,0.45482214190603004,0.7070611970410222,0.3745749411456971,0.39473684210526316,0.524390243902439,0.4481088858847953,0,46,0,0.42215796469068534,,
cremad,transformer,r1s1,within_fold,6,0.4935763370182253,50.75392371550655,1190,1122,1133,1130,953,1166,50.75392371550655,0.09966375252185608,0.1,0.9003362474781439,0.1357572586973581,741,7435,0.5141896435776732,48.88092239387622,0.49284649776453054,0.902488231338265,0.13497253465864503,0.8048780487804879,0.8536585365853658,0.4933775128558904,0,0,0,0.34091009526224214,,
cremad,transformer,r1s1,within_fold,6,0.4715966386554622,52.479576289069705,1121,973,976,963,849,1068,52.479576289069705,0.19973100201748487,0.2,0.8002689979825152,0.26602144912372483,1485,7435,0.5141896435776732,48.88092239387622,0.47425610163824805,0.8045729657027573,0.2579126340570233,0.6625,0.7317073170731707,0.47060365555644257,0,5,0,0.38279767039538853,,
cremad,transformer,r1s1,within_fold,6,0.45101805608912793,53.92161245061744,1051,837,836,789,736,957,53.92161245061744,0.2997982515131137,0.3,0.7002017484868863,0.38582265236725083,2229,7435,0.5141896435776732,48.88092239387622,0.45482214190603004,0.7070611970410222,0.3745749411456971,0.5121951219512195,0.6052631578947368,0.449524520450887,0,50,0,0.42215796469068534,,
cremad,transformer,r2s2,global_oof,6,0.47893006575014946,52.09387580450798,1212,1113,1121,1130,953,1163,52.09387580450798,0.09993275050437121,0.1,0.9000672494956288,0.1412111468381565,743,7435,0.5019502353732347,50.04874558842312,0.4794336810730253,0.902488231338265,0.1379957127545552,0.7654320987654321,0.8414634146341463,0.4786277233930086,0,0,0,0.3680386741325432,,
cremad,transformer,r2s2,global_oof,6,0.4578009414929388,53.81298714744066,1136,972,966,978,846,1050,53.81298714744066,0.2,0.2,0.8,0.2703644158628081,1487,7435,0.5019502353732347,50.04874558842312,0.45787362086258776,0.8045729657027573,0.26607717041800644,0.6097560975609756,0.7195121951219512,0.4567749850603779,0,7,0,0.4194484555023802,,
cremad,transformer,r2s2,global_oof,6,0.43631123919308357,55.505201703168396,1044,823,816,847,741,934,55.505201703168396,0.29993275050437124,0.3,0.7000672494956288,0.39147909967845657,2230,7435,0.5019502353732347,50.04874558842312,0.43637055354765075,0.7070611970410222,0.3853161843515541,0.5061728395061729,0.6219512195121951,0.4330606339719788,0,50,0,0.46548389420521863,,
cremad,transformer,r2s2,within_fold,6,0.47900791872105186,52.05213105999299,1213,1110,1123,1121,954,1172,52.05213105999299,0.09979825151311365,0.1,0.9002017484868864,0.14094319399785638,742,7435,0.5019502353732347,50.04874558842312,0.4794336810730253,0.902488231338265,0.1379957127545552,0.7777777777777778,0.8414634146341463,0.47902933376874784,0,0,0,0.3680386741325432,,
