level,model,b,speaker,coverage,accepted_error,n_utts,n_reps,n_defined_risk_reps
cremad,cnn,0.2,1056,0.8089430894308943,0.427293678665496,82,3,3
cremad,cnn,0.2,1057,0.7520325203252032,0.49272384865605207,82,3,3
cremad,cnn,0.2,1058,0.8170731707317073,0.3024256651017214,82,3,3
cremad,cnn,0.2,1059,0.7926829268292682,0.582157838259682,82,3,3
cremad,cnn,0.2,1060,0.8008130081300813,0.5096301547914451,82,3,3
cremad,cnn,0.2,1061,0.8089430894308943,0.3118629736276795,82,3,3
cremad,cnn,0.2,1062,0.8617886178861789,0.4138001638001638,82,3,3
cremad,cnn,0.2,1063,0.8373983739837398,0.24682144831398564,82,3,3
cremad,cnn,0.2,1064,0.8577235772357724,0.32727548520387395,82,3,3
cremad,cnn,0.2,1065,0.8292682926829268,0.3636564484948909,82,3,3
cremad,cnn,0.2,1066,0.804878048780488,0.3385886514918773,82,3,3
cremad,cnn,0.2,1067,0.7723577235772359,0.584087287477118,82,3,3
cremad,cnn,0.2,1068,0.7886178861788617,0.29890724946695096,82,3,3
cremad,cnn,0.2,1069,0.7723577235772359,0.3579861111111111,82,3,3
cremad,cnn,0.2,1070,0.7479674796747968,0.3256704980842912,82,3,3
cremad,cnn,0.2,1071,0.8292682926829268,0.5001485442661914,82,3,3
cremad,cnn,0.2,1072,0.7926829268292682,0.22444033139432398,82,3,3
cremad,cnn,0.2,1073,0.7439024390243901,0.38003565062388595,82,3,3
cremad,cnn,0.2,1074,0.8130081300813008,0.5502450980392156,82,3,3
cremad,cnn,0.2,1075,0.9065040650406505,0.578755756477458,82,3,3
cremad,cnn,0.2,1076,0.7208333333333333,0.34151863462208293,80,3,3
cremad,cnn,0.2,1077,0.8211382113821138,0.5143441099962839,82,3,3
cremad,cnn,0.2,1078,0.8292682926829268,0.229765597959838,82,3,3
cremad,cnn,0.2,1079,0.8414634146341463,0.42489749522997605,82,3,3
cremad,cnn,0.2,1080,0.8821138211382115,0.31933231933231937,82,3,3
cremad,cnn,0.2,1081,0.8414634146341463,0.2852803093068213,82,3,3
cremad,cnn,0.2,1082,0.7439024390243901,0.6759496111098754,82,3,3
cremad,cnn,0.2,1083,0.8008130081300813,0.39089169536930735,82,3,3
cremad,cnn,0.2,1084,0.7113821138211381,0.4001558542762517,82,3,3
cremad,cnn,0.2,1085,0.8170731707317073,0.31289592760181,82,3,3
cremad,cnn,0.2,1086,0.7804878048780489,0.48487693839806517,82,3,3
cremad,cnn,0.2,1087,0.7642276422764228,0.5261183261183261,82,3,3
cremad,cnn,0.2,1088,0.8252032520325203,0.41977872670807453,82,3,3
cremad,cnn,0.2,1089,0.7235772357723578,0.381983678593848,82,3,3
cremad,cnn,0.2,1090,0.7560975609756099,0.3338383838383838,82,3,3
cremad,cnn,0.2,1091,0.7682926829268292,0.5852565131332584,82,3,3
cremad,cnn,0.3,1001,0.6788617886178862,0.5878837872169037,82,3,3
cremad,cnn,0.3,1002,0.5925925925925927,0.44267403931269483,81,3,3
cremad,cnn,0.3,1003,0.6707317073170732,0.2725965554912923,82,3,3
cremad,cnn,0.3,1004,0.6747967479674797,0.3141085546420615,82,3,3
cremad,cnn,0.3,1005,0.6829268292682927,0.4383624760983252,82,3,3
cremad,cnn,0.3,1006,0.6875,0.40128032345013476,80,3,3
cremad,cnn,0.3,1007,0.7439024390243901,0.41108521108521107,82,3,3
cremad,cnn,0.3,1008,0.6929824561403509,0.45774976657329597,76,3,3
cremad,cnn,0.3,1009,0.6885964912280701,0.239798592392932,76,3,3
cremad,cnn,0.3,1010,0.5934959349593497,0.24280636524138577,82,3,3
cremad,cnn,0.3,1011,0.7357723577235772,0.2696886446886447,82,3,3
cremad,cnn,0.3,1012,0.6260162601626016,0.20646777229410282,82,3,3
cremad,cnn,0.3,1013,0.7875,0.3062351127924898,80,3,3
cremad,cnn,0.3,1014,0.6747967479674797,0.23438706829968003,82,3,3
cremad,cnn,0.3,1015,0.7073170731707318,0.35009279307145064,82,3,3
cremad,cnn,0.3,1016,0.6869918699186991,0.3460671624971827,82,3,3
cremad,cnn,0.3,1017,0.7208333333333332,0.3925644028103044,80,3,3
cremad,cnn,0.3,1018,0.6910569105691057,0.20025160025160024,82,3,3
cremad,cnn,0.3,1019,0.6096491228070176,0.27255892255892256,76,3,3
cremad,cnn,0.3,1020,0.7154471544715447,0.26292687122084174,82,3,3
cremad,cnn,0.3,1021,0.7926829268292682,0.5024875621890548,82,3,3
cremad,cnn,0.3,1022,0.7235772357723578,0.30944556139808227,82,3,3
cremad,cnn,0.3,1023,0.6463414634146342,0.4460497835497836,82,3,3
cremad,cnn,0.3,1024,0.6219512195121951,0.42994469582704875,82,3,3
cremad,cnn,0.3,1025,0.7601626016260162,0.4604041981091161,82,3,3
cremad,cnn,0.3,1026,0.7235772357723578,0.22865466101694917,82,3,3
cremad,cnn,0.3,1027,0.6178861788617885,0.3073346359820524,82,3,3
cremad,cnn,0.3,1028,0.7073170731707318,0.41257309941520465,82,3,3
cremad,cnn,0.3,1029,0.6829268292682927,0.38628979857050033,82,3,3
cremad,cnn,0.3,1030,0.6504065040650406,0.2612265031798883,82,3,3
cremad,cnn,0.3,1031,0.7195121951219511,0.5079123668205431,82,3,3
cremad,cnn,0.3,1032,0.7317073170731708,0.33764568764568764,82,3,3
cremad,cnn,0.3,1033,0.5731707317073171,0.17640692640692643,82,3,3
cremad,cnn,0.3,1034,0.6991869918699187,0.3956140350877193,82,3,3
cremad,cnn,0.3,1035,0.7073170731707318,0.35293872793872794,82,3,3
cremad,cnn,0.3,1036,0.6504065040650407,0.52507215007215,82,3,3
cremad,cnn,0.3,1037,0.7845528455284553,0.2485576923076923,82,3,3
cremad,cnn,0.3,1038,0.7235772357723578,0.2698681732580038,82,3,3
cremad,cnn,0.3,1039,0.7601626016260162,0.4435690972049638,82,3,3
cremad,cnn,0.3,1040,0.7195121951219511,0.2946108912756736,82,3,3
cremad,cnn,0.3,1041,0.7479674796747968,0.3421465453366676,82,3,3
